Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
127,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,0.04,0.04,0.04,0.00,0.00,0.04,0.04,100.0,0.00,0.04,0.00,0.04,0.08,0.12,0.72,0.00,Matches,8470f026
128,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,11.9,1.51,0.76,0.84,0.59,0.08,0.67,1.34,50.0,0.67,0.92,0.50,0.42,1.18,2.69,4.62,0.08,Matches,3fa61ade
129,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,31.5,1.21,0.67,0.86,0.29,0.06,0.67,1.30,51.2,0.63,1.62,0.79,0.83,1.24,2.44,3.24,0.00,Matches,10fe831e
130,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,30.5,1.38,0.85,1.21,0.16,0.00,0.56,0.95,58.6,0.39,1.02,0.79,0.23,1.31,2.69,6.26,0.03,Matches,589d070c
131,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13.0,1.08,0.54,0.92,0.15,0.00,0.54,1.00,53.8,0.46,0.77,0.69,0.08,0.69,1.77,4.31,0.00,Matches,84b6acaa
132,Arthur Chaves,br BRA,DF,Avaí,21,2001,16.5,1.09,0.91,0.73,0.36,0.00,0.55,0.73,75.0,0.18,1.33,1.15,0.18,0.79,1.88,4.30,0.06,Matches,913e4711
133,Renato Chaves,br BRA,DF,Juventude,31,1990,1.8,0.56,0.00,0.56,0.00,0.00,0.56,1.11,50.0,0.56,0.56,0.56,0.00,2.78,3.33,3.89,0.00,Matches,2a51efe8
134,Chico,br BRA,MFFW,Juventude,30,1991,24.2,2.23,1.28,0.87,0.95,0.41,0.79,1.61,48.7,0.83,0.99,0.17,0.83,1.03,3.26,0.87,0.00,Matches,bad7d8a9
135,Christian,br BRA,MF,Atl Paranaense,21,2000,4.8,1.67,1.25,0.21,1.25,0.21,0.83,1.67,50.0,0.83,0.63,0.21,0.42,1.04,2.71,0.83,0.00,Matches,a856b456
136,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,26.5,1.17,0.68,0.26,0.75,0.15,0.34,1.21,28.1,0.87,0.75,0.11,0.64,0.30,1.47,0.91,0.00,Matches,875ac6e9
137,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,5.2,0.96,0.58,0.19,0.38,0.38,0.38,1.15,33.3,0.77,1.35,0.00,1.35,0.96,1.92,0.96,0.00,Matches,6ba81b35
138,Léo Cittadini,br BRA,MFFW,Atl Paranaense,27,1994,8.0,2.25,1.25,1.13,1.00,0.13,0.88,1.88,46.7,1.00,1.13,0.00,1.13,0.63,2.88,1.50,0.00,Matches,68410185
139,Luccas Claro,br BRA,DF,Fluminense,30,1991,5.2,0.19,0.19,0.19,0.00,0.00,0.00,0.58,0.0,0.58,0.58,0.58,0.00,1.54,1.73,5.58,0.00,Matches,3cacc0ec
140,Clayton,br BRA,FWMF,Coritiba,23,1999,3.6,0.83,0.28,0.28,0.28,0.28,0.00,0.83,0.0,0.83,0.56,0.00,0.56,0.00,0.83,1.39,0.00,Matches,b05870de
141,Cléber,br BRA,FW,Ceará,25,1996,10.9,1.47,0.92,0.18,0.92,0.37,0.28,0.73,37.5,0.46,0.64,0.09,0.55,0.18,1.65,1.01,0.00,Matches,e539e239
142,Jean Cléber,br BRA,MF,Avaí,31,1990,9.6,1.67,1.15,1.04,0.52,0.10,0.94,1.25,75.0,0.31,1.04,0.31,0.73,1.35,3.02,0.94,0.10,Matches,16bf849a
143,Cleiton,br BRA,DF,Flamengo,18,2003,0.0,,0,,,,,,,,,,,0,,,,Matches,741c6251
144,Andrés Colorado,co COL,MF,São Paulo,23,1998,3.4,2.94,2.65,1.76,0.88,0.29,0.88,1.47,60.0,0.59,1.18,0.29,0.88,1.47,4.41,2.65,0.29,Matches,f3afff11
145,Germán Conti,ar ARG,DF,América (MG),27,1994,18.4,1.09,0.71,0.49,0.54,0.05,0.38,0.76,50.0,0.38,1.85,1.20,0.65,1.52,2.61,5.98,0.00,Matches,7b18b6db
146,Jonathan Copete,co COL,FW,Avaí,34,1988,3.1,1.61,0.65,0.00,1.29,0.32,0.65,1.29,50.0,0.65,1.29,0.00,1.29,0.97,2.58,1.94,0.00,Matches,ce070a45
147,Bruno Cortez,br BRA,DF,Avaí,34,1987,27.0,1.74,0.93,0.96,0.63,0.15,1.15,1.85,62.0,0.70,1.33,0.30,1.04,0.44,2.19,2.11,0.04,Matches,a3a1198a
148,Talles Costa,br BRA,MF,São Paulo,19,2002,6.1,1.80,1.31,0.49,1.31,0.00,0.98,1.80,54.5,0.82,1.15,0.00,1.15,1.31,3.11,0.49,0.00,Matches,d8f15d24
149,Lucas Crispim,br BRA,DFMF,Fortaleza,27,1994,13.0,1.38,1.00,0.69,0.38,0.31,1.08,1.62,66.7,0.54,0.92,0.00,0.92,1.15,2.54,1.38,0.00,Matches,6501ff61
150,Daniel Cruz,br BRA,FWDF,Botafogo (RJ),20,2001,0.1,10.0,10.0,10.0,0.00,0.00,0.00,10.0,0.0,10.0,0.00,0.00,0.00,0.00,10.0,10.0,0.00,Matches,86a118c2
151,Tomás Cuello,ar ARG,FW,Atl Paranaense,21,2000,18.0,2.44,1.39,1.17,0.94,0.33,0.89,2.22,40.0,1.33,0.83,0.11,0.72,0.67,3.11,0.56,0.00,Matches,5c8615dd
152,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),33,1988,28.5,1.68,1.02,1.12,0.49,0.07,1.09,1.51,72.1,0.42,1.44,0.95,0.49,2.07,3.75,4.07,0.00,Matches,39fb428f
153,Andrés D'Alessandro,ar ARG,FW,Internacional,40,1981,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6a11048a
154,Adailson Dadá,br BRA,MFFW,Goiás,24,1997,27.9,1.36,0.79,0.86,0.36,0.14,0.47,1.51,31.0,1.04,0.82,0.07,0.75,0.54,1.90,0.72,0.00,Matches,2a75cc09
155,Daniel,br BRA,GK,Internacional,27,1994,23.0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.0,0.09,0.00,0.00,0.00,0.04,0.04,0.35,0.13,Matches,636fc976
156,Danilo,br BRA,DF,Goiás,24,1997,2.6,0.38,0.00,0.38,0.00,0.00,0.38,0.77,50.0,0.38,2.31,1.92,0.38,0.77,1.15,5.00,0.00,Matches,415a34c5
157,Danilo,br BRA,MF,Palmeiras,20,2001,30.5,2.30,1.31,1.05,1.02,0.23,1.11,2.20,50.7,1.08,1.08,0.26,0.82,0.95,3.25,1.25,0.00,Matches,a816dbfb
158,David,br BRA,MF,Ceará,17,2004,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,16a42430
159,David,br BRA,FW,Internacional,26,1995,9.1,1.32,0.66,0.55,0.44,0.33,0.22,0.99,22.2,0.77,0.77,0.11,0.66,0.00,1.32,0.77,0.00,Matches,92f9ace5
160,Kayke David,br BRA,FWMF,Flamengo,19,2003,0.3,3.33,0.00,0.00,3.33,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,Matches,2285358d
161,Giorgian De Arrascaeta,uy URU,MF,Flamengo,27,1994,16.4,2.26,1.40,0.67,1.04,0.55,0.49,1.34,36.4,0.85,1.10,0.00,1.10,0.30,2.56,0.30,0.00,Matches,be8d02dd
162,Denilson,br BRA,MF,Cuiabá,20,2001,7.8,2.56,1.54,1.15,1.03,0.38,0.77,1.41,54.5,0.64,0.77,0.13,0.64,1.15,3.72,0.90,0.00,Matches,9144afdf
163,Dentinho,br BRA,FW,Ceará,33,1989,0.6,1.67,1.67,1.67,0.00,0.00,0.00,0.00,,0.00,3.33,0.00,3.33,0.00,1.67,0.00,0.00,Matches,85686f86
164,Dentinho,br BRA,FWMF,Avaí,24,1997,3.2,1.56,0.94,0.31,1.25,0.00,0.31,1.88,16.7,1.56,1.88,0.63,1.25,0.94,2.50,0.94,0.00,Matches,aaacc628
165,Valentín Depietri,ar ARG,FWMF,Fortaleza,21,2000,2.6,1.54,0.77,0.38,0.77,0.38,0.38,0.77,50.0,0.38,2.31,0.00,2.31,0.77,2.31,0.38,0.00,Matches,d02cb5d7
166,Deyverson,br BRA,FW,Cuiabá,30,1991,14.1,0.50,0.21,0.00,0.35,0.14,0.21,0.50,42.9,0.28,0.35,0.00,0.35,0.28,0.78,1.70,0.00,Matches,2e5e846d
167,Luan Dias,br BRA,MFFW,Goiás,24,1997,8.6,2.44,1.40,1.16,0.81,0.47,0.58,2.56,22.7,1.98,0.93,0.23,0.70,1.05,3.49,0.93,0.00,Matches,a342ce1e
168,Matheus Dias,br BRA,MF,Internacional,24,1997,1.2,5.00,1.67,3.33,1.67,0.00,1.67,3.33,50.0,1.67,5.00,2.50,2.50,0.83,5.83,0.83,0.00,Matches,ddfa9005
169,Juan Díaz,co COL,MF,Coritiba,20,2001,1.5,4.67,4.00,2.67,1.33,0.67,0.67,0.67,100.0,0.00,2.00,0.00,2.00,0.67,5.33,2.67,0.00,Matches,36839110
170,Diego,br BRA,MFDF,Ceará,33,1988,2.3,0.43,0.00,0.43,0.00,0.00,0.00,0.87,0.0,0.87,0.00,0.00,0.00,3.04,3.48,1.30,0.00,Matches,cd09e9a1
171,Diego,br BRA,GK,Atl Goianiense,23,1998,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6b023405
172,Diego,br BRA,DF,São Paulo,22,1999,19.1,1.88,1.31,1.20,0.58,0.10,0.79,1.41,55.6,0.63,0.99,0.52,0.47,1.26,3.14,3.30,0.00,Matches,7fb8f90c
173,Diego,br BRA,MF,Flamengo,36,1985,9.8,1.84,1.53,0.71,0.92,0.20,1.12,3.27,34.4,2.14,1.63,0.82,0.82,1.02,2.86,0.82,0.10,Matches,255a478a
174,Diego,br BRA,GK,Botafogo (RJ),23,1998,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,Matches,6b023405
175,Dieguinho,br BRA,MFDF,Goiás,26,1995,32.1,2.02,1.21,0.90,0.84,0.28,0.81,1.84,44.1,1.03,1.28,0.50,0.78,1.09,3.12,2.65,0.00,Matches,7e5a7340
176,Dodô,br BRA,DF,Atlético Mineiro,29,1992,10.1,1.58,1.09,0.89,0.59,0.10,0.69,0.99,70.0,0.30,0.99,0.00,0.99,1.29,2.87,1.49,0.00,Matches,99931185
177,Matheus Donelli,br BRA,GK,Corinthians,19,2002,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7c736064
178,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.0,0.13,0.00,0.00,0.00,0.00,0.00,1.06,0.13,Matches,6bfaecc4
179,Douglas,br BRA,DF,Bragantino,33,1988,0.8,,1.25,,,,,,,,,,,0.00,,,,Matches,e7fea035
180,Rodrigo Dourado,br BRA,MF,Internacional,27,1994,5.0,3.20,1.20,1.20,1.60,0.40,1.40,3.20,43.8,1.80,1.00,0.00,1.00,1.40,4.60,2.00,0.00,Matches,d7d05a22
181,David Duarte,br BRA,DF,Fluminense,27,1995,0.9,1.11,1.11,0.00,1.11,0.00,0.00,1.11,0.0,1.11,1.11,1.11,0.00,4.44,5.56,12.2,0.00,Matches,91bf16f7
182,Dudu,br BRA,FW,Palmeiras,30,1992,31.3,0.48,0.22,0.13,0.22,0.13,0.22,0.58,38.9,0.35,0.64,0.03,0.61,0.77,1.25,0.32,0.00,Matches,895ef5ec
183,Dudu,br BRA,DF,Juventude,19,2002,1.2,2.50,0.00,0.83,1.67,0.00,1.67,3.33,50.0,1.67,0.83,0.00,0.83,2.50,5.00,3.33,0.00,Matches,3f10ae0b
184,Pablo Dyego,br BRA,FW,Avaí,27,1994,5.4,2.04,1.30,1.67,0.19,0.19,0.93,2.22,41.7,1.30,1.30,0.37,0.93,1.11,3.15,0.93,0.00,Matches,fce54d7d
185,Edenílson,br BRA,MF,Internacional,32,1989,24.3,1.56,0.91,0.66,0.66,0.25,0.70,1.19,58.6,0.49,0.74,0.16,0.58,0.62,2.18,1.07,0.00,Matches,4e50f20e
186,Eder,br BRA,DF,América (MG),26,1995,32.7,0.70,0.40,0.49,0.21,0.00,0.43,0.86,50.0,0.43,1.41,1.07,0.34,1.65,2.35,4.68,0.00,Matches,ba1a2c4c
187,Éder,it ITA,FWMF,São Paulo,35,1986,7.4,0.68,0.68,0.14,0.14,0.41,0.14,0.68,20.0,0.54,0.54,0.14,0.41,0.14,0.81,0.14,0.00,Matches,5a325298
188,Edinho,br BRA,MF,Juventude,27,1994,4.1,,0.00,,,,,,,,,,,0.24,,,,Matches,a8cedcd9
189,Edson,br BRA,MFDF,Atl Goianiense,23,1998,9.1,2.09,1.32,1.32,0.55,0.22,1.43,1.87,76.5,0.44,1.43,0.66,0.77,1.10,3.19,1.87,0.00,Matches,644d4d85
190,Edson,br BRA,DFMF,Atl Goianiense,30,1991,15.8,1.58,0.95,0.89,0.70,0.00,0.70,1.20,57.9,0.51,1.84,1.08,0.76,1.71,3.29,4.87,0.13,Matches,041250aa
191,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,12.2,1.31,0.82,0.41,0.57,0.33,0.49,1.23,40.0,0.74,0.49,0.08,0.41,0.82,2.13,1.15,0.08,Matches,1a234d32
192,Carlos Eduardo,br BRA,FWMF,Bragantino,25,1996,10.0,1.40,0.90,0.20,0.80,0.40,0.40,1.40,28.6,1.00,1.50,0.10,1.40,0.50,1.90,0.80,0.00,Matches,27c23008
193,Elton,br BRA,MF,Juventude,31,1990,12.9,2.25,1.40,1.32,0.78,0.16,1.16,1.94,60.0,0.78,1.09,0.39,0.70,1.55,3.80,1.47,0.00,Matches,42b5868b
194,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),27,1994,2.9,3.45,2.07,1.03,1.03,1.38,0.69,1.03,66.7,0.34,1.03,0.00,1.03,1.03,4.48,0.34,0.00,Matches,74758396
195,Alan Empereur,br BRA,DF,Cuiabá,27,1994,24.7,0.73,0.36,0.49,0.20,0.04,0.20,0.45,45.5,0.24,0.73,0.61,0.12,1.54,2.27,3.60,0.04,Matches,825b8997
196,Endrick,br BRA,FW,Palmeiras,15,2006,3.4,1.18,1.18,0.29,0.29,0.59,0.29,0.29,100.0,0.00,0.88,0.00,0.88,0.00,1.18,0.00,0.00,Matches,a2728fbf
197,Erick,br BRA,MF,Atl Paranaense,24,1997,20.5,2.73,1.27,1.27,1.32,0.15,1.12,2.68,41.8,1.56,1.90,0.78,1.12,1.51,4.24,2.29,0.00,Matches,8a826636
198,Erick,br BRA,FWMF,Ceará,24,1997,11.7,0.85,0.43,0.51,0.26,0.09,0.34,1.62,21.1,1.28,0.94,0.00,0.94,0.43,1.28,0.43,0.00,Matches,8edcad0d
199,Erison,br BRA,FW,Botafogo (RJ),22,1999,16.5,0.24,0.18,0.00,0.12,0.12,0.12,0.55,22.2,0.42,0.30,0.00,0.30,0.06,0.30,0.61,0.00,Matches,a9c450cb
200,Estevão,br BRA,FWMF,Internacional,19,2002,1.2,1.67,0.83,1.67,0.00,0.00,1.67,1.67,100.0,0.00,1.67,0.83,0.83,0.83,2.50,0.00,0.00,Matches,149f4681
201,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,29.0,2.07,1.24,0.76,1.14,0.17,0.97,1.90,50.9,0.93,0.83,0.34,0.48,0.93,3.00,1.24,0.00,Matches,5f4ce4b6
202,Everaldo,br BRA,MFFW,América (MG),27,1994,21.0,1.43,0.81,0.57,0.48,0.38,0.29,1.57,18.2,1.29,1.00,0.05,0.95,0.76,2.19,0.33,0.00,Matches,bdb57777
203,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.03,0.00,0.03,0.00,0.00,0.43,0.00,Matches,a59c090b
204,Éverton,br BRA,MFFW,Cuiabá,33,1988,4.4,1.59,1.36,0.45,1.14,0.00,1.14,3.18,35.7,2.05,1.14,0.00,1.14,0.91,2.50,0.68,0.00,Matches,f50a3570
205,Fabinho,br BRA,MF,Palmeiras,19,2002,0.8,3.75,3.75,0.00,2.50,1.25,1.25,5.00,25.0,3.75,0.00,0.00,0.00,2.50,6.25,2.50,0.00,Matches,ff0e595c
206,Fábio,br BRA,FWMF,Atlético Mineiro,24,1997,1.5,0.67,0.67,0.00,0.67,0.00,0.00,1.33,0.0,1.33,0.00,0.00,0.00,0.00,0.67,0.00,0.00,Matches,30f90535
207,Fábio,br BRA,GK,Fluminense,41,1980,38.0,0.05,0.03,0.05,0.00,0.00,0.03,0.05,50.0,0.03,0.00,0.00,0.00,0.00,0.05,0.37,0.03,Matches,15825726
208,Fabrício,br BRA,FWMF,Coritiba,24,1997,16.7,1.74,1.14,0.72,0.96,0.06,0.66,1.44,45.8,0.78,1.32,0.06,1.26,0.42,2.16,0.78,0.00,Matches,0211a29e
209,Fagner,br BRA,DF,Corinthians,32,1989,10.0,3.40,2.10,2.20,0.80,0.40,1.60,2.30,69.6,0.70,0.80,0.30,0.50,1.10,4.50,2.10,0.00,Matches,a9cc58fe
210,Willian Farias,br BRA,MF,Coritiba,32,1989,17.7,1.75,1.19,0.79,0.85,0.11,0.62,1.98,31.4,1.36,0.90,0.23,0.68,1.07,2.82,1.36,0.00,Matches,d1fcff2f
211,Lucas Fasson,br BRA,DF,Atl Paranaense,20,2001,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,1.25,1.25,5.00,0.00,Matches,31ecbf29
212,Felipe,br BRA,MF,Fortaleza,27,1994,9.8,1.33,0.71,0.51,0.82,0.00,0.71,1.63,43.8,0.92,0.92,0.10,0.82,1.33,2.65,1.73,0.00,Matches,cadbabf9
213,Luis Felipe,br BRA,DF,Santos,28,1993,10.9,,0.83,,,,,,,,,,,1.65,,,,Matches,746c8624
214,Matheus Felipe,br BRA,DF,Atl Paranaense,23,1998,19.8,1.36,1.01,0.91,0.45,0.00,0.81,1.31,61.5,0.51,1.46,1.01,0.45,0.86,2.22,4.24,0.00,Matches,90749ab9
215,Lucas Fernandes,br BRA,MF,Botafogo (RJ),24,1997,18.6,1.02,0.54,0.27,0.59,0.16,0.54,1.88,28.6,1.34,1.02,0.27,0.75,0.43,1.45,0.43,0.00,Matches,a109d777
216,Matheus Fernandes,br BRA,MF,Atl Paranaense,23,1998,7.6,3.29,1.71,1.97,0.92,0.39,1.32,3.68,35.7,2.37,2.50,0.39,2.11,1.18,4.47,1.71,0.00,Matches,f76fdcd2
217,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,31.2,0.10,0.03,0.10,0.00,0.00,0.10,0.19,50.0,0.10,0.00,0.00,0.00,0.06,0.16,0.42,0.00,Matches,9a82f79a
218,Ignacio Fernández,ar ARG,MF,Atlético Mineiro,32,1990,24.7,1.90,0.97,0.57,0.73,0.61,0.85,2.83,30.0,1.98,1.30,0.08,1.21,0.85,2.75,0.28,0.00,Matches,97a17c0b
219,Rodrigo Fernández,uy URU,MF,Santos,26,1996,25.7,3.46,2.02,1.67,1.56,0.23,1.95,5.10,38.2,3.15,1.05,0.19,0.86,0.78,4.24,1.25,0.00,Matches,617ee116
220,Fernandinho,br BRA,MF,Atl Paranaense,36,1985,10.8,1.48,0.74,0.37,0.93,0.19,0.28,1.11,25.0,0.83,1.20,0.37,0.83,1.02,2.50,0.74,0.09,Matches,101da2b5
221,Derick Fernando,br BRA,DF,Santos,19,2002,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,Matches,a19d96f6
222,Luiz Fernando,br BRA,FWMF,Atl Goianiense,25,1996,19.4,0.88,0.52,0.46,0.31,0.10,0.21,0.88,23.5,0.67,0.62,0.05,0.57,0.57,1.44,0.93,0.00,Matches,824ed016
223,Nahuel Ferraresi,ve VEN,DF,São Paulo,23,1998,7.9,2.28,1.39,1.52,0.76,0.00,1.14,2.15,52.9,1.01,2.03,0.89,1.14,1.52,3.80,3.80,0.00,Matches,719aab45
224,Luiz Filipe,br BRA,MFFW,Goiás,20,2001,0.4,10.0,2.50,5.00,2.50,2.50,2.50,2.50,100.0,0.00,2.50,2.50,0.00,0.00,10.0,0.00,0.00,Matches,4a615e0b
225,Flávio,br BRA,MF,América (MG),21,2000,0.3,6.67,6.67,6.67,0.00,0.00,6.67,10.0,66.7,3.33,0.00,0.00,0.00,6.67,13.3,0.00,0.00,Matches,f0367bfd
226,Rafael Forster,br BRA,DF,Juventude,31,1990,18.1,1.38,0.99,0.99,0.22,0.17,0.83,1.49,55.6,0.66,0.94,0.72,0.22,1.44,2.82,4.53,0.00,Matches,eb3f56e5
227,Matheus França,br BRA,FWMF,Flamengo,17,2004,7.5,2.00,0.67,0.67,1.07,0.27,0.67,0.80,83.3,0.13,0.53,0.00,0.53,0.40,2.40,1.07,0.00,Matches,077faf72
228,Fred,br BRA,FWMF,Fluminense,38,1983,1.4,0.71,0.00,0.00,0.00,0.71,0.71,0.71,100.0,0.00,0.00,0.00,0.00,0.00,0.71,2.14,0.00,Matches,acaeba74
229,Marlon Freitas,br BRA,MF,Atl Goianiense,26,1995,27.5,1.67,1.05,0.87,0.62,0.18,0.87,2.00,43.6,1.13,1.05,0.55,0.51,1.02,2.69,1.16,0.04,Matches,ae3181de
230,Douglas Friedrich,br BRA,GK,Avaí,33,1988,10.4,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.0,0.10,0.00,0.00,0.00,0.00,0.00,0.87,0.10,Matches,8789242d
231,Gabriel,br BRA,MF,São Paulo,22,1999,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,Matches,135d500d
232,Gabriel,br BRA,MF,Internacional,29,1992,23.8,3.91,2.44,1.51,2.06,0.34,1.55,3.24,48.1,1.68,1.43,0.38,1.05,1.85,5.76,1.89,0.00,Matches,e9c0d5d8
233,Gabriel,br BRA,GK,Coritiba,29,1992,13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.0,0.08,0.00,0.00,0.00,0.00,0.00,0.54,0.00,Matches,f93ed0df
234,Gabriel,br BRA,MF,Botafogo (RJ),28,1993,8.3,1.81,1.08,0.24,1.45,0.12,0.96,1.69,57.1,0.72,1.57,0.24,1.33,2.05,3.86,1.57,0.00,Matches,0d10333c
235,Eduardo Gabriel,br BRA,DF,Santos,25,1996,33.0,1.03,0.52,0.76,0.24,0.03,0.36,0.58,63.2,0.21,1.67,1.18,0.48,1.48,2.52,4.45,0.03,Matches,aed65960
236,Luiz Gabriel,br BRA,FWMF,Coritiba,19,2002,1.1,6.36,2.73,4.55,0.91,0.91,2.73,4.55,60.0,1.82,0.00,0.00,0.00,2.73,9.09,0.91,0.00,Matches,f9c619e0
237,Marquinhos Gabriel,br BRA,MFFW,Goiás,31,1990,8.4,1.19,0.71,0.36,0.60,0.24,0.60,0.83,71.4,0.24,0.95,0.12,0.83,0.12,1.31,0.24,0.00,Matches,fcd113c4
238,Vitor Gabriel,br BRA,FWMF,Juventude,22,2000,8.6,1.16,0.35,0.47,0.35,0.35,0.47,1.40,33.3,0.93,0.58,0.12,0.47,0.00,1.16,2.21,0.00,Matches,094c2abd
239,Matías Galarza,py PAR,MF,Coritiba,19,2002,6.7,3.58,1.34,0.75,2.09,0.75,1.64,4.48,36.7,2.84,1.64,0.45,1.19,1.94,5.52,0.60,0.00,Matches,8e97a57b
240,Matheus Galdezani,br BRA,MF,Avaí,29,1992,3.2,3.75,2.50,0.94,1.88,0.94,2.19,3.13,70.0,0.94,1.56,0.63,0.94,1.88,5.63,0.63,0.00,Matches,5042eb90
241,Thiago Galhardo,br BRA,FWMF,Fortaleza,32,1989,15.0,0.87,0.47,0.13,0.40,0.33,0.07,1.07,6.3,1.00,0.53,0.00,0.53,0.40,1.27,1.20,0.00,Matches,766f48dd
242,Giuliano Galoppo,ar ARG,MF,São Paulo,22,1999,7.9,2.03,1.39,0.25,1.27,0.51,0.76,2.41,31.6,1.65,1.01,0.00,1.01,0.38,2.41,0.63,0.00,Matches,a8eeadaf
243,Léo Gamalho,br BRA,FW,Coritiba,36,1986,18.4,0.65,0.33,0.16,0.27,0.22,0.22,0.60,36.4,0.38,0.22,0.11,0.11,0.00,0.65,0.65,0.00,Matches,f73056ee
244,Ganso,br BRA,MFFW,Fluminense,32,1989,27.5,1.45,0.80,0.44,0.73,0.29,0.47,1.38,34.2,0.91,0.80,0.15,0.65,0.33,1.78,0.33,0.00,Matches,23593121
245,García,br BRA,DFMF,Palmeiras,20,2002,1.1,1.82,0.00,1.82,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,1.82,3.64,2.73,0.00,Matches,45d071f4
246,Bryan García,ec ECU,MF,Atl Paranaense,21,2001,3.1,1.29,1.29,0.32,0.97,0.00,0.65,4.19,15.4,3.55,0.97,0.00,0.97,0.65,1.94,2.26,0.00,Matches,7b66d351
247,Luan Garcia,br BRA,DF,Palmeiras,28,1993,13.6,1.10,0.29,0.74,0.29,0.07,0.59,1.03,57.1,0.44,1.03,0.59,0.44,1.62,2.72,3.90,0.07,Matches,6ebe6cc1
248,Gaspar,br BRA,FW,Avaí,19,2002,0.4,10.0,5.00,2.50,0.00,7.50,7.50,12.5,60.0,5.00,2.50,0.00,2.50,2.50,12.5,0.00,0.00,Matches,996af9a5
249,Rafael Gava,br BRA,MF,Cuiabá,28,1993,22.7,1.37,0.75,0.48,0.62,0.26,0.75,1.85,40.5,1.10,0.84,0.22,0.62,0.66,2.03,0.84,0.00,Matches,713e1a36
250,Lucas Gazal,br BRA,DF,Atl Goianiense,22,1999,14.5,0.62,0.28,0.62,0.00,0.00,0.34,0.41,83.3,0.07,1.10,0.83,0.28,1.10,1.72,5.45,0.00,Matches,dcae46d5
251,Guilherme Gehring,br BRA,MF,Juventude,16,2005,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,37faab98
252,Geovane,br BRA,MF,Ceará,22,1999,6.1,1.80,0.66,0.16,1.31,0.33,0.82,1.80,45.5,0.98,1.80,0.66,1.15,0.82,2.62,0.66,0.00,Matches,099a14d5
253,Gil,br BRA,DF,Corinthians,34,1987,22.7,1.32,0.57,0.88,0.31,0.13,0.57,0.93,61.9,0.35,1.54,1.10,0.44,1.28,2.60,3.39,0.00,Matches,31edef00
254,Giovane,br BRA,FWDF,Corinthians,18,2003,3.3,1.82,0.61,0.30,1.21,0.30,0.61,1.21,50.0,0.61,1.52,0.61,0.91,0.30,2.12,0.30,0.00,Matches,1b567cdc
255,Giovani,br BRA,FWMF,Palmeiras,18,2004,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,Matches,a199bd5f
256,Glédson,br BRA,GK,Avaí,38,1983,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,Matches,a9d625f5
