Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,0.75,0.38,0.38,0.38,0.00,0.19,1.13,16.7,0.94,1.13,0.19,0.94,0.19,0.94,0.75,0.00,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,1.29,0.50,0.89,0.20,0.20,0.50,1.19,41.7,0.69,0.69,0.30,0.40,0.40,1.68,0.79,0.00,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,1.15,0.84,0.68,0.37,0.10,0.47,0.84,56.3,0.37,0.79,0.31,0.47,0.52,1.68,1.31,0.00,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,1.08,0.39,0.69,0.20,0.20,0.69,1.37,50.0,0.69,1.27,0.98,0.29,1.67,2.75,1.86,0.10,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,5.56,3.33,2.22,2.22,1.11,2.22,4.44,50.0,2.22,2.22,0.00,2.22,0.00,5.56,0.00,0.00,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,1.00,0.75,0.75,0.25,0.00,0.75,0.88,85.7,0.13,1.25,0.88,0.38,0.75,1.75,6.50,0.00,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,1.62,1.05,0.47,0.64,0.51,0.71,1.39,51.2,0.68,1.11,0.07,1.05,0.24,1.86,0.64,0.00,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,2.50,1.50,1.00,1.00,0.50,0.50,4.50,11.1,4.00,2.00,0.50,1.50,0.50,3.00,3.50,0.00,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,0.94,0.58,0.39,0.35,0.19,0.42,1.10,38.2,0.68,1.03,0.26,0.77,0.48,1.42,0.52,0.00,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,1.64,0.96,0.55,0.96,0.14,0.41,2.33,17.6,1.92,1.37,0.14,1.23,1.37,3.01,0.27,0.00,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.0,2.50,1.25,0.00,1.25,0.00,0.00,0.00,0.00,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,1.90,1.27,0.71,0.95,0.24,0.63,2.30,27.6,1.67,1.35,0.16,1.19,0.79,2.70,0.40,0.00,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,1.92,0.96,0.64,0.71,0.58,0.64,1.54,41.7,0.90,0.83,0.06,0.77,0.90,2.82,0.58,0.06,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,2.80,1.77,1.89,0.91,0.00,0.79,1.59,50.0,0.79,0.85,0.43,0.43,1.59,4.39,1.65,0.00,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,2.09,1.40,1.16,0.70,0.23,1.16,2.33,50.0,1.16,0.70,0.23,0.47,0.70,2.79,2.56,0.00,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,1.15,0.83,0.73,0.31,0.10,0.52,1.46,35.7,0.94,1.15,0.42,0.73,1.67,2.81,3.75,0.10,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,1.42,0.71,0.55,0.51,0.36,0.47,1.58,30.0,1.11,1.23,0.08,1.15,0.55,1.98,0.91,0.04,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,1.11,1.11,0.00,0.00,1.11,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1.11,3.33,0.00,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,,0.00,,,,,,,,,,,0.00,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,8.33,3.33,3.33,5.00,0.00,1.67,3.33,50.0,1.67,0.00,0.00,0.00,1.67,10.0,6.67,0.00,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,1.25,0.92,1.00,0.25,0.00,0.50,1.17,42.9,0.67,1.00,0.83,0.17,1.00,2.25,4.83,0.00,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,2.27,1.59,1.36,0.91,0.00,1.36,2.50,54.5,1.14,1.14,0.45,0.68,1.82,4.09,6.14,0.00,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,1.59,0.71,0.40,0.79,0.40,0.63,1.98,32.0,1.35,1.03,0.24,0.79,0.56,2.14,1.35,0.00,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,2.17,1.54,1.08,0.88,0.21,0.79,2.46,32.2,1.67,1.25,0.42,0.83,1.46,3.63,1.21,0.00,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,2.22,1.67,0.00,1.67,0.56,2.22,2.78,80.0,0.56,3.33,2.22,1.11,2.78,5.00,4.44,0.00,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,0.44,0.22,0.09,0.22,0.13,0.22,0.79,27.8,0.57,0.00,0.00,0.00,0.09,0.53,0.09,0.00,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,4.65,2.21,1.63,2.33,0.70,1.74,4.65,37.5,2.91,2.44,0.35,2.09,1.16,5.81,1.16,0.00,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,1.75,1.49,1.14,0.44,0.18,0.70,1.75,40.0,1.05,1.05,0.44,0.61,0.96,2.72,2.46,0.00,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,6.67,6.67,3.33,3.33,0.00,6.67,10.0,66.7,3.33,0.00,0.00,0.00,6.67,13.3,3.33,0.00,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,10.0,6.67,10.0,0.00,0.00,6.67,6.67,100.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,2.40,1.15,0.63,1.46,0.31,0.94,2.92,32.1,1.98,1.56,0.21,1.35,1.15,3.54,2.50,0.00,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,2.13,1.15,0.82,1.15,0.16,0.66,1.31,50.0,0.66,1.48,0.16,1.31,0.98,3.11,0.82,0.00,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,0.83,0.71,0.24,0.24,0.36,0.36,1.31,27.3,0.95,1.43,0.12,1.31,0.60,1.43,0.83,0.00,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,0.03,0.03,0.03,0.00,0.00,0.03,0.03,100.0,0.00,0.00,0.00,0.00,0.03,0.06,0.33,0.06,Matches,5d699228
