Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,0.09,0.55,0.09,16.7,0.54,0.09,0.17,1.00,21.5,0.00,0.00,0.00,0.07,0.07,0.13,0.02,0.02,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,0.00,0.80,0.40,50.0,0.80,0.40,0.00,0.00,31.6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,0.10,1.62,0.57,35.3,1.62,0.57,0.06,0.17,18.8,0.00,0.00,0.00,0.11,0.11,0.07,-0.02,-0.02,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,0.00,1.12,0.39,35.3,1.12,0.40,0.00,0.00,28.6,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,0.00,1.00,0.00,0.0,1.00,0.00,0.00,,13.5,0.00,0.00,0.00,0.10,0.10,0.06,-0.10,-0.10,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,0.36,3.31,1.39,41.8,3.31,1.38,0.11,0.26,16.0,0.00,0.00,0.06,0.40,0.36,0.11,-0.04,0.00,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,0.00,0.42,0.03,8.3,0.42,0.03,0.00,0.00,18.2,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,0.03,0.42,0.13,30.8,0.42,0.13,0.08,0.25,25.2,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.02,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,0.00,2.35,0.12,5.3,2.35,0.12,0.00,0.00,20.5,0.00,0.00,0.00,0.12,0.12,0.05,-0.12,-0.12,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,33.5,0.03,0.84,0.30,35.7,0.84,0.30,0.04,0.10,27.9,0.00,0.00,0.00,0.03,0.03,0.04,0.00,0.00,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,8.1,0.37,1.60,0.37,23.1,1.61,0.37,0.15,0.67,19.3,0.00,0.12,0.12,0.32,0.22,0.14,0.05,0.02,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,0.38,1.89,0.75,40.0,1.88,0.75,0.20,0.50,11.7,0.00,0.00,0.00,0.55,0.55,0.29,-0.17,-0.17,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,0.10,1.68,0.40,23.5,1.69,0.40,0.06,0.25,17.3,0.00,0.00,0.00,0.16,0.16,0.09,-0.06,-0.06,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,0.00,2.15,0.31,14.6,2.14,0.31,0.00,0.00,22.3,0.05,0.00,0.00,0.08,0.08,0.04,-0.08,-0.08,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,0.20,1.18,0.59,50.0,1.17,0.59,0.17,0.33,15.2,0.00,0.00,0.00,0.12,0.12,0.10,0.08,0.08,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,2.22,2.22,2.22,100.0,2.17,2.17,1.00,1.00,10.6,0.00,0.00,0.00,0.89,0.89,0.41,1.33,1.33,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,0.00,1.25,0.25,20.0,1.25,0.25,0.00,0.00,9.9,0.00,0.00,0.00,0.06,0.06,0.05,-0.06,-0.06,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,0.24,1.35,0.47,35.0,1.35,0.47,0.15,0.43,19.3,0.17,0.03,0.03,0.11,0.09,0.07,0.12,0.11,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,0.00,1.50,0.00,0.0,1.52,0.00,0.00,,24.3,0.00,0.00,0.00,0.05,0.05,0.04,-0.05,-0.05,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,0.19,2.61,0.81,30.9,2.62,0.81,0.07,0.24,18.9,0.13,0.00,0.00,0.21,0.21,0.08,-0.01,-0.01,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,0.14,2.60,0.96,36.8,2.60,0.96,0.05,0.14,20.1,0.14,0.00,0.00,0.15,0.15,0.06,-0.01,-0.01,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,0.08,1.75,0.40,22.7,1.75,0.40,0.05,0.20,18.4,0.00,0.00,0.00,0.17,0.17,0.10,-0.10,-0.10,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,0.06,2.24,0.64,28.6,2.25,0.64,0.03,0.10,22.6,0.06,0.00,0.00,0.09,0.09,0.04,-0.03,-0.03,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,0.00,0.43,0.12,28.6,0.43,0.12,0.00,0.00,20.8,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,0.00,0.47,0.00,0.0,0.47,0.00,0.00,,22.4,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,0.00,2.50,0.52,20.8,2.51,0.52,0.00,0.00,16.5,0.31,0.00,0.00,0.11,0.11,0.04,-0.11,-0.11,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,0.16,2.57,0.79,30.8,2.57,0.79,0.06,0.20,19.0,0.00,0.00,0.00,0.16,0.16,0.06,-0.00,-0.00,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,0.00,4.44,0.00,0.0,4.24,0.00,0.00,,17.3,0.00,0.00,0.00,1.11,1.11,0.26,-1.11,-1.11,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,0.00,6.67,0.00,0.0,6.67,0.00,0.00,,,,0.00,0.00,,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,0.25,0.92,0.42,45.5,0.92,0.42,0.27,0.60,10.6,0.00,0.00,0.00,0.09,0.09,0.10,0.16,0.16,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,0.00,0.23,0.00,0.0,0.23,0.00,0.00,,9.6,0.00,0.00,0.00,0.02,0.02,0.11,-0.02,-0.02,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,0.40,3.02,0.95,31.6,3.01,0.95,0.13,0.42,15.9,0.00,0.00,0.00,0.52,0.52,0.17,-0.12,-0.12,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,0.17,1.96,0.67,34.0,1.96,0.67,0.09,0.25,21.0,0.00,0.00,0.00,0.14,0.14,0.07,0.02,0.02,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,0.00,1.11,0.56,50.0,1.08,0.54,0.00,0.00,22.4,0.00,0.00,0.00,0.06,0.06,0.03,-0.06,-0.06,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,0.48,3.17,1.01,31.9,3.17,1.01,0.14,0.43,16.2,0.00,0.04,0.13,0.49,0.38,0.12,-0.00,0.06,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,0.23,2.33,0.70,30.0,2.34,0.70,0.10,0.33,20.7,0.00,0.00,0.00,0.13,0.13,0.06,0.10,0.10,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,0.00,0.53,0.00,0.0,0.52,0.00,0.00,,18.3,0.26,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,0.00,2.92,0.94,32.1,2.92,0.94,0.00,0.00,32.2,0.94,0.00,0.00,0.08,0.08,0.03,-0.08,-0.08,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,0.00,0.66,0.49,75.0,0.65,0.49,0.00,0.00,23.2,0.00,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,0.12,3.10,1.19,38.5,3.10,1.19,0.04,0.10,24.7,0.36,0.00,0.12,0.20,0.11,0.04,-0.08,0.01,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,5d699228
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,0.00,0.71,0.00,0.0,0.69,0.00,0.00,,10.0,0.00,0.00,0.00,0.07,0.07,0.12,-0.07,-0.07,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,0.05,1.68,0.43,25.7,1.68,0.43,0.03,0.11,23.4,0.05,0.00,0.00,0.11,0.11,0.07,-0.06,-0.06,Matches,828a04fa
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,0.11,0.64,0.21,33.3,0.64,0.21,0.17,0.50,15.7,0.00,0.00,0.00,0.08,0.08,0.15,0.03,0.03,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,0.00,1.67,0.83,50.0,1.67,0.83,0.00,0.00,23.2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,0.00,0.37,0.00,0.0,0.36,0.00,0.00,,30.1,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,0.52,1.85,0.59,32.0,1.84,0.59,0.10,0.31,19.4,0.07,0.33,0.33,0.43,0.17,0.09,0.09,0.02,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,069cb4f8
72,Vinícius Boff,br BRA,MF,Cuiabá,22,1999,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,badaed00
73,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,0.06,1.65,0.53,32.1,1.64,0.53,0.04,0.11,20.5,0.00,0.00,0.00,0.09,0.09,0.06,-0.04,-0.04,Matches,737945d9
74,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,0.05,0.58,0.14,25.0,0.58,0.14,0.08,0.33,29.4,0.10,0.00,0.00,0.03,0.03,0.05,0.02,0.02,Matches,71879f82
75,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,55196057
76,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,0.00,0.69,0.09,13.0,0.69,0.09,0.00,0.00,11.8,0.00,0.00,0.00,0.07,0.07,0.10,-0.07,-0.07,Matches,d0b29bbd
77,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,0.00,1.67,0.00,0.0,1.61,0.00,0.00,,31.1,1.67,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches,e90af77c
78,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,0.00,2.08,0.57,27.3,2.08,0.57,0.00,0.00,26.6,0.19,0.00,0.00,0.08,0.08,0.04,-0.08,-0.08,Matches,e90af77c
79,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,0.22,1.69,0.78,46.2,1.69,0.78,0.13,0.28,17.7,0.00,0.00,0.00,0.21,0.21,0.12,0.01,0.01,Matches,8a0a73ad
80,David Braz,br BRA,DF,Fluminense,34,1987,7.9,0.13,0.89,0.25,28.6,0.89,0.25,0.14,0.50,19.6,0.13,0.00,0.00,0.06,0.06,0.07,0.06,0.06,Matches,9313b408
81,Breno,br BRA,FW,Palmeiras,26,1996,3.7,0.27,2.16,1.08,50.0,2.19,1.09,0.13,0.25,16.3,0.00,0.00,0.00,0.27,0.27,0.12,0.00,0.00,Matches,e0016d00
82,Bressan,br BRA,DF,Avaí,29,1993,20.6,0.00,0.29,0.00,0.0,0.29,0.00,0.00,,10.4,0.00,0.00,0.00,0.03,0.03,0.09,-0.03,-0.03,Matches,3db1684c
83,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,0.05,0.50,0.10,20.0,0.50,0.10,0.10,0.50,17.7,0.00,0.00,0.00,0.04,0.04,0.08,0.01,0.01,Matches,fb29d05d
84,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,0.00,5.38,0.00,0.0,5.58,0.00,0.00,,25.6,1.54,0.00,0.00,0.23,0.23,0.05,-0.23,-0.23,Matches,f7a3e78a
85,Bruno,br BRA,MF,Bragantino,18,2003,0.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,ad8c3404
86,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,0.15,0.38,0.15,40.0,0.38,0.15,0.40,1.00,7.6,0.00,0.00,0.00,0.05,0.05,0.14,0.10,0.10,Matches,470d197b
87,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,0.22,2.11,0.56,26.3,2.12,0.56,0.05,0.20,14.9,0.00,0.11,0.22,0.40,0.23,0.11,-0.18,-0.12,Matches,768cbb2d
88,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,0.32,2.08,0.48,23.1,2.08,0.48,0.08,0.33,24.8,0.40,0.16,0.16,0.30,0.18,0.08,0.02,-0.02,Matches,5752f96d
89,Busanello,br BRA,DF,Juventude,23,1998,3.2,0.00,1.56,0.94,60.0,1.55,0.93,0.00,0.00,20.1,0.00,0.00,0.00,0.06,0.06,0.04,-0.06,-0.06,Matches,788c4780
90,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,0.07,0.61,0.13,22.2,0.61,0.13,0.11,0.50,18.0,0.00,0.00,0.00,0.05,0.05,0.08,0.02,0.02,Matches,82549f54
91,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,3.2,0.31,2.19,0.63,28.6,2.22,0.63,0.14,0.50,14.8,0.00,0.00,0.00,0.47,0.47,0.22,-0.16,-0.16,Matches,8f774c7f
92,Daniel Cabral,br BRA,FW,Flamengo,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c080bb5e
93,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,19.1,0.00,0.79,0.26,33.3,0.79,0.26,0.00,0.00,21.6,0.05,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches,16cd17b7
94,Raúl Cáceres,py PAR,DF,América (MG),30,1991,18.0,0.06,0.89,0.17,18.8,0.89,0.17,0.06,0.33,17.4,0.00,0.00,0.00,0.06,0.06,0.07,-0.01,-0.01,Matches,6d9dc5be
95,Matheus Cadorini,br BRA,FW,Internacional,19,2002,1.0,0.00,2.00,2.00,100.0,2.07,2.07,0.00,0.00,15.1,0.00,0.00,0.00,0.20,0.20,0.12,-0.20,-0.20,Matches,7f2b23f8
96,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,3.5,0.57,4.00,1.14,28.6,3.99,1.14,0.14,0.50,12.1,0.00,0.00,0.00,0.40,0.40,0.10,0.17,0.17,Matches,7f2b23f8
97,Caetano,br BRA,DF,Goiás,22,1999,24.6,0.04,0.20,0.16,80.0,0.20,0.16,0.20,0.25,10.4,0.00,0.00,0.00,0.02,0.02,0.10,0.02,0.02,Matches,226e5efd
98,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,6.2,0.32,1.45,0.81,55.6,1.44,0.80,0.22,0.40,12.5,0.00,0.00,0.00,0.23,0.23,0.16,0.10,0.10,Matches,8d043f1d
99,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,6.5,0.00,0.31,0.15,50.0,0.31,0.15,0.00,0.00,13.1,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches,186ed8f1
100,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,2.9,0.00,1.72,0.69,40.0,1.70,0.68,0.00,0.00,19.0,0.00,0.00,0.00,0.14,0.14,0.07,-0.14,-0.14,Matches,c84af55e
101,Lucas Calegari,br BRA,DF,Fluminense,19,2002,7.3,0.00,0.41,0.00,0.0,0.41,0.00,0.00,,27.9,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches,a564fe91
102,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,31.3,0.58,3.13,1.21,38.8,3.13,1.21,0.17,0.45,13.0,0.00,0.03,0.06,0.42,0.37,0.12,0.15,0.17,Matches,6922f806
103,Guilherme Camacho,br BRA,MF,Santos,31,1990,18.1,0.06,0.55,0.28,50.0,0.55,0.28,0.10,0.20,25.4,0.00,0.00,0.00,0.02,0.02,0.03,0.04,0.04,Matches,61a6775b
104,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,2c79da44
105,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,0.00,0.70,0.11,15.4,0.70,0.11,0.00,0.00,24.1,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches,dfb81359
106,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,0.00,1.25,0.00,0.0,1.27,0.00,0.00,,10.8,0.00,0.00,0.00,0.13,0.13,0.06,-0.13,-0.13,Matches,c455a045
107,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,0.38,2.19,0.86,39.1,2.20,0.86,0.14,0.36,22.5,0.62,0.07,0.07,0.29,0.24,0.11,0.09,0.07,Matches,ca151606
108,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,0.76,3.80,1.84,48.5,3.80,1.84,0.20,0.41,16.6,0.03,0.00,0.00,0.54,0.54,0.14,0.22,0.22,Matches,9ccf4e14
109,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,0.13,1.54,0.45,29.2,1.53,0.45,0.08,0.29,20.9,0.00,0.00,0.00,0.13,0.13,0.08,0.00,0.00,Matches,4f5a2f38
110,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,0.00,0.10,0.00,0.0,0.10,0.00,0.00,,33.2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches,45075f2f
111,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,0.05,1.20,0.33,27.3,1.20,0.33,0.05,0.17,21.4,0.00,0.00,0.00,0.07,0.07,0.05,-0.01,-0.01,Matches,ea2634a1
112,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,0.09,1.21,0.31,25.6,1.21,0.31,0.08,0.30,21.3,0.22,0.00,0.00,0.06,0.06,0.05,0.03,0.03,Matches,91ba7336
113,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,0.18,1.64,0.55,33.3,1.63,0.54,0.11,0.33,23.0,0.18,0.00,0.00,0.05,0.05,0.03,0.13,0.13,Matches,7a694ae4
114,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,0.19,1.72,0.64,37.0,1.72,0.64,0.11,0.30,16.7,0.00,0.00,0.00,0.18,0.18,0.11,0.01,0.01,Matches,7426f085
115,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,0.00,0.70,0.00,0.0,0.70,0.00,0.00,,21.8,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches,662475de
116,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,0.00,0.73,0.00,0.0,0.74,0.00,0.00,,12.9,0.00,0.00,0.00,0.10,0.10,0.15,-0.10,-0.10,Matches,00d6e369
117,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,0.00,0.34,0.00,0.0,0.34,0.00,0.00,,25.5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches,e93e479e
118,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,0.00,2.41,0.74,30.8,2.39,0.73,0.00,0.00,14.4,0.19,0.00,0.00,0.22,0.22,0.09,-0.22,-0.22,Matches,f50b0b2b
119,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,ad9e7995
120,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,2.50,2.50,2.50,100.0,2.50,2.50,1.00,1.00,3.4,0.00,0.00,0.00,0.25,0.25,0.12,2.25,2.25,Matches,ebb2d232
121,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,0.13,1.71,0.53,30.8,1.72,0.53,0.08,0.25,22.1,0.13,0.00,0.00,0.16,0.16,0.10,-0.03,-0.03,Matches,a32d25d3
122,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,0.00,0.63,0.00,0.0,0.64,0.00,0.00,,32.8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,a32d25d3
123,Cássio,br BRA,GK,Corinthians,34,1987,34.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,d42f6326
124,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,0.06,0.31,0.06,18.2,0.31,0.06,0.18,1.00,10.3,0.00,0.00,0.00,0.03,0.03,0.09,0.03,0.03,Matches,0470eeba
125,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,0.00,1.55,0.34,22.2,1.55,0.35,0.00,0.00,16.2,0.00,0.00,0.00,0.10,0.10,0.07,-0.10,-0.10,Matches,555311f2
126,Cauã,br BRA,DF,Juventude,18,2003,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,3c48a088
127,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,8470f026
128,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,11.9,0.00,0.92,0.25,27.3,0.92,0.25,0.00,0.00,10.9,0.00,0.00,0.00,0.11,0.11,0.12,-0.11,-0.11,Matches,3fa61ade
129,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,31.5,0.16,1.02,0.35,34.4,1.02,0.35,0.16,0.45,10.2,0.00,0.00,0.00,0.11,0.11,0.11,0.05,0.05,Matches,10fe831e
130,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,30.5,0.00,0.26,0.07,25.0,0.26,0.07,0.00,0.00,10.7,0.00,0.00,0.00,0.02,0.02,0.09,-0.02,-0.02,Matches,589d070c
131,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13.0,0.00,0.77,0.23,30.0,0.77,0.23,0.00,0.00,9.9,0.00,0.00,0.00,0.07,0.07,0.09,-0.07,-0.07,Matches,84b6acaa
132,Arthur Chaves,br BRA,DF,Avaí,21,2001,16.5,0.06,0.67,0.12,18.2,0.67,0.12,0.09,0.50,14.7,0.06,0.00,0.00,0.06,0.06,0.09,0.00,0.00,Matches,913e4711
133,Renato Chaves,br BRA,DF,Juventude,31,1990,1.8,0.00,2.22,1.11,50.0,2.20,1.10,0.00,0.00,8.6,0.00,0.00,0.00,0.33,0.33,0.14,-0.33,-0.33,Matches,2a51efe8
134,Chico,br BRA,MFFW,Juventude,30,1991,24.2,0.04,1.36,0.41,30.3,1.36,0.41,0.00,0.00,24.9,0.33,0.04,0.04,0.09,0.06,0.04,-0.05,-0.06,Matches,bad7d8a9
135,Christian,br BRA,MF,Atl Paranaense,21,2000,4.8,0.00,1.88,0.83,44.4,1.89,0.84,0.00,0.00,21.4,0.00,0.00,0.00,0.10,0.10,0.06,-0.10,-0.10,Matches,a856b456
136,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,26.5,0.26,1.96,0.83,42.3,1.96,0.83,0.12,0.27,14.1,0.04,0.04,0.04,0.24,0.21,0.11,0.03,0.02,Matches,875ac6e9
137,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,5.2,0.00,1.15,0.19,16.7,1.14,0.19,0.00,0.00,17.7,0.00,0.00,0.00,0.06,0.06,0.05,-0.06,-0.06,Matches,6ba81b35
