Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,59.5,1.37,8.36,29.5,21.9,3.84,59.5,3.84,2.05,53.6,1.64,42.9,34.8,185.8,93.2,2.74,1.64,0.96,2.19,1.78,39.2,7.12,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,10.0,0.00,1.25,6.25,2.50,0.00,10.0,0.00,0.00,,0.00,,11.3,27.5,12.5,0.00,0.00,0.00,3.75,2.50,12.5,0.00,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,38.8,0.56,6.11,12.3,21.2,4.37,38.8,4.92,1.51,30.6,3.33,67.7,25.9,214.0,89.1,3.65,2.14,1.35,3.57,1.90,24.8,9.21,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,77.2,1.15,6.79,43.7,27.4,2.24,77.2,1.67,0.90,53.8,0.77,46.2,45.6,209.9,94.9,1.79,1.67,0.19,2.44,0.58,57.6,5.83,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,44.1,3.35,14.6,25.1,4.82,0.49,44.1,0.55,0.18,33.3,0.30,55.6,22.6,119.3,56.5,0.30,0.67,0.00,1.28,0.49,25.1,0.30,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,60.2,2.56,14.0,27.7,18.8,1.16,60.2,0.93,0.47,50.0,0.47,50.0,27.7,110.2,61.2,0.93,2.33,0.23,0.70,1.16,33.3,3.95,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,56.3,5.10,17.1,26.4,13.1,3.13,56.3,0.83,0.31,37.5,0.52,62.5,19.3,77.4,43.9,0.42,0.52,0.00,0.83,0.21,27.4,2.92,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,46.8,1.11,7.23,18.0,22.5,3.87,46.8,3.00,1.23,40.8,1.30,43.4,27.3,170.7,74.7,2.29,1.94,0.59,2.57,1.46,32.2,7.47,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,41.1,3.33,4.44,17.8,18.9,4.44,41.1,2.22,1.11,50.0,1.11,50.0,24.4,142.2,45.6,1.11,2.22,2.22,5.56,1.11,31.1,7.78,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,,,,,,,,,,,,,,,,,,,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,78.3,1.67,23.3,25.0,31.7,1.67,78.3,5.00,1.67,33.3,3.33,66.7,33.3,523.3,223.3,11.7,5.00,0.00,8.33,5.00,38.3,8.33,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,62.8,8.00,35.4,25.9,1.67,1.25,62.8,0.25,0.17,66.7,0.08,33.3,33.4,142.5,85.5,0.08,0.00,0.00,0.17,0.00,37.8,0.08,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,56.6,9.55,32.5,22.3,1.82,0.45,56.6,0.68,0.45,66.7,0.00,0.0,30.9,125.9,52.0,0.00,0.45,0.00,1.36,0.00,33.9,0.00,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,39.5,1.51,5.71,17.9,16.8,4.29,39.5,2.70,1.43,52.9,1.19,44.1,22.8,134.1,73.9,1.90,1.43,0.56,1.75,1.59,26.5,6.19,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,58.8,1.83,14.8,35.1,9.46,1.33,58.8,1.21,0.75,62.1,0.38,31.0,33.3,158.6,70.0,1.08,1.08,0.04,1.04,0.42,40.0,1.13,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,62.8,8.33,15.0,40.6,7.22,1.11,62.8,3.33,1.67,50.0,1.11,33.3,35.0,162.8,75.0,0.00,1.11,0.00,1.11,1.11,37.2,0.56,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,38.6,0.09,0.88,14.1,23.7,4.93,38.5,1.19,0.62,51.9,0.53,44.4,26.4,151.1,62.8,1.94,1.72,0.84,1.41,0.84,31.4,7.58,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,52.0,1.98,10.8,22.6,19.5,3.60,52.0,2.09,0.58,27.8,1.51,72.2,26.0,149.8,53.8,1.28,1.63,0.00,1.98,1.74,30.5,6.86,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,50.3,3.77,15.2,20.5,15.1,1.14,50.3,0.44,0.09,20.0,0.35,80.0,17.5,97.5,52.1,1.67,0.70,0.09,1.05,0.26,22.1,3.77,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,36.7,6.67,20.0,13.3,3.33,0.00,36.7,0.00,0.00,,0.00,,13.3,60.0,3.33,0.00,0.00,0.00,3.33,3.33,6.67,3.33,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,60.0,0.00,23.3,33.3,3.33,0.00,60.0,0.00,0.00,,0.00,,20.0,173.3,120.0,3.33,0.00,0.00,0.00,0.00,23.3,3.33,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,74.7,3.44,17.0,44.5,14.7,0.52,74.7,1.56,1.15,73.3,0.42,26.7,36.4,160.9,95.8,1.25,1.04,0.10,1.04,0.42,43.4,1.77,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,57.7,0.98,12.0,33.1,13.1,0.98,57.7,0.98,0.33,33.3,0.49,50.0,27.0,89.8,41.5,0.33,0.66,0.00,0.66,0.82,37.5,2.46,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,69.9,0.83,7.62,30.7,32.7,2.38,69.8,4.17,2.26,54.3,1.43,34.3,39.5,229.5,106.9,2.50,2.98,0.60,1.55,1.43,45.7,5.71,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,27.5,23.8,27.5,0.00,0.00,0.00,27.5,0.00,0.00,,0.00,,13.0,82.6,60.0,0.00,0.03,0.00,0.00,0.00,7.21,0.00,Matches,5d699228
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,67.1,5.00,20.7,42.9,4.29,0.71,67.1,0.71,0.71,100.0,0.00,0.0,40.7,230.0,168.6,1.43,1.43,0.00,0.00,0.00,52.1,0.71,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,49.5,0.96,6.92,30.7,12.8,1.01,49.5,2.16,0.91,42.2,1.15,53.3,28.2,174.1,79.0,1.92,1.68,0.24,1.97,1.06,34.2,3.61,Matches,828a04fa
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,4,0,1,2,1,0,4,0,0,,0,,1,10,3,0,0,0,0,0,3,0,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,67.9,6.20,34.5,32.0,1.82,0.75,67.9,0.32,0.16,50.0,0.16,50.0,46.6,242.9,125.5,0.43,0.64,0.11,0.75,0.21,48.2,0.11,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,38.3,0.00,2.50,20.0,15.8,0.83,38.3,0.00,0.00,,0.00,,23.3,81.7,29.2,0.00,0.00,0.00,0.00,0.83,30.0,5.00,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,54.6,3.05,20.5,24.1,10.2,0.49,54.6,0.73,0.61,83.3,0.12,16.7,26.0,131.0,76.7,1.22,0.61,0.00,0.85,0.49,30.0,3.05,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,29.5,1.03,2.32,14.1,13.5,2.88,29.2,1.33,0.55,41.7,0.66,50.0,15.4,62.7,20.6,0.63,0.77,0.22,2.03,1.44,20.0,5.35,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,25.9,23.5,25.8,0.08,0.00,0.00,25.9,0.00,0.00,,0.00,,10.4,72.8,53.8,0.00,0.00,0.00,0.00,0.00,5.23,0.00,Matches,069cb4f8
72,Vinícius Boff,br BRA,MF,Cuiabá,22,1999,0.1,100.0,10.0,30.0,20.0,60.0,0.00,100.0,10.0,10.0,100.0,0.00,0.0,60.0,410.0,250.0,10.0,20.0,0.00,10.0,0.00,70.0,10.0,Matches,badaed00
73,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,44.8,0.24,4.12,20.5,22.1,2.94,44.8,8.47,5.06,59.7,2.76,32.6,32.4,348.2,202.4,6.88,4.88,1.82,3.18,2.18,34.2,8.06,Matches,737945d9
74,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,70.6,2.98,20.1,34.8,16.3,0.43,70.6,1.39,0.63,44.8,0.77,55.2,38.4,211.9,105.6,1.49,1.30,0.00,1.25,0.29,41.3,2.45,Matches,71879f82
75,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,26.0,22.0,26.0,0.00,0.00,0.00,26.0,0.00,0.00,,0.00,,12.0,79.0,63.0,0.00,0.00,0.00,0.00,0.00,9.00,0.00,Matches,55196057
76,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,50.9,7.13,25.4,24.3,1.56,0.81,50.9,0.33,0.21,63.6,0.12,36.4,27.0,128.1,78.6,0.21,0.18,0.00,0.33,0.12,30.1,0.09,Matches,d0b29bbd
77,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,95.0,1.67,8.33,56.7,30.0,0.00,95.0,1.67,1.67,100.0,0.00,0.0,68.3,446.7,175.0,3.33,5.00,0.00,3.33,1.67,68.3,5.00,Matches,e90af77c
78,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,44.5,0.94,5.85,22.6,16.6,0.94,44.5,1.32,0.38,28.6,0.57,42.9,27.5,132.3,49.6,0.75,1.32,0.19,2.26,1.89,29.8,2.26,Matches,e90af77c
79,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,41.1,1.04,6.41,17.2,18.4,3.16,41.1,4.55,2.47,54.3,1.69,37.1,27.2,244.9,140.5,4.76,3.33,1.13,1.77,1.52,29.3,7.58,Matches,8a0a73ad
80,David Braz,br BRA,DF,Fluminense,34,1987,7.9,64.1,10.5,34.1,27.1,3.04,0.76,64.1,0.76,0.25,33.3,0.51,66.7,32.9,186.7,108.7,0.63,0.38,0.00,0.76,0.38,42.0,0.13,Matches,9313b408
81,Breno,br BRA,FW,Palmeiras,26,1996,3.7,51.9,0.54,5.14,19.2,27.8,6.76,51.9,1.89,1.35,71.4,0.54,28.6,31.9,213.5,127.8,5.95,1.35,2.43,2.43,0.54,34.9,10.8,Matches,e0016d00
82,Bressan,br BRA,DF,Avaí,29,1993,20.6,58.9,10.3,31.3,26.8,0.92,0.39,58.9,0.10,0.10,100.0,0.00,0.0,33.4,163.3,113.0,0.49,0.34,0.05,0.10,0.05,39.4,0.10,Matches,3db1684c
83,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,45.4,5.30,18.8,21.4,5.55,0.80,45.4,0.65,0.25,38.5,0.30,46.2,17.9,82.4,41.8,0.20,0.30,0.00,0.45,0.25,18.6,0.80,Matches,fb29d05d
84,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,53.1,0.00,3.08,33.1,17.7,2.31,53.1,6.92,2.31,33.3,4.62,66.7,36.9,183.8,121.5,3.85,3.08,0.77,3.85,1.54,33.1,3.08,Matches,f7a3e78a
85,Bruno,br BRA,MF,Bragantino,18,2003,0.4,42.5,0.00,0.00,27.5,15.0,0.00,42.5,5.00,2.50,50.0,2.50,50.0,30.0,230.0,112.5,0.00,2.50,0.00,0.00,2.50,27.5,2.50,Matches,ad8c3404
86,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,65.3,8.23,31.7,32.5,1.46,0.62,65.3,0.08,0.08,100.0,0.00,0.0,43.2,209.3,125.9,0.62,0.31,0.00,0.08,0.00,47.5,0.00,Matches,470d197b
87,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,42.1,1.67,4.67,21.6,16.2,4.78,41.9,2.11,1.44,68.4,0.67,31.6,25.0,136.7,38.4,1.67,0.56,0.22,3.33,2.56,32.2,4.78,Matches,768cbb2d
88,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,47.5,0.96,4.64,25.6,17.8,2.00,47.4,2.48,1.04,41.9,1.36,54.8,28.4,170.7,74.6,2.08,1.92,0.24,1.84,1.20,31.0,3.76,Matches,5752f96d
89,Busanello,br BRA,DF,Juventude,23,1998,3.2,55.3,1.56,16.6,25.6,13.1,0.63,55.3,0.00,0.00,,0.00,,23.4,75.9,35.9,0.63,0.00,0.00,0.63,0.00,30.3,4.06,Matches,788c4780
90,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,66.3,3.47,18.1,31.1,17.7,1.55,66.3,1.11,0.51,45.5,0.54,48.5,34.9,147.9,73.6,1.52,1.52,0.13,0.54,0.57,39.3,4.65,Matches,82549f54
91,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,3.2,31.9,0.00,1.56,15.0,15.6,3.44,31.9,1.56,0.94,60.0,0.63,40.0,19.4,76.9,41.6,0.63,0.00,0.00,2.81,1.25,25.3,8.13,Matches,8f774c7f
92,Daniel Cabral,br BRA,FW,Flamengo,19,2002,0.0,1,0,1,0,0,0,1,0,0,,0,,1,0,0,0,0,0,1,0,1,0,Matches,c080bb5e
93,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,19.1,67.1,4.14,22.4,24.4,20.9,1.99,67.1,1.05,0.42,40.0,0.63,60.0,29.8,137.3,75.1,1.78,0.84,0.47,1.41,0.99,33.7,5.65,Matches,16cd17b7
94,Raúl Cáceres,py PAR,DF,América (MG),30,1991,18.0,54.2,2.94,13.9,21.4,19.1,2.06,54.2,0.39,0.06,14.3,0.33,85.7,23.8,149.7,81.7,2.56,1.00,0.50,0.61,0.33,28.2,5.50,Matches,6d9dc5be
95,Matheus Cadorini,br BRA,FW,Internacional,19,2002,1.0,29.0,2.00,2.00,16.0,11.0,4.00,29.0,2.00,2.00,100.0,0.00,0.0,16.0,64.0,19.0,1.00,1.00,1.00,4.00,2.00,18.0,5.00,Matches,7f2b23f8
96,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,3.5,37.4,1.14,2.29,17.4,18.0,6.29,37.4,1.43,0.29,20.0,1.14,80.0,17.4,57.4,10.6,0.00,0.00,0.00,2.57,1.43,26.3,6.57,Matches,7f2b23f8
97,Caetano,br BRA,DF,Goiás,22,1999,24.6,45.8,7.89,27.2,17.2,1.71,0.57,45.8,0.12,0.04,33.3,0.04,33.3,22.5,100.2,62.8,0.08,0.12,0.08,0.28,0.12,26.1,0.20,Matches,226e5efd
98,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,6.2,45.6,0.65,5.81,19.0,22.1,2.74,45.6,3.23,1.13,35.0,1.61,50.0,29.2,200.0,84.0,2.58,1.61,0.65,3.55,1.45,33.1,9.68,Matches,8d043f1d
99,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,6.5,71.2,8.31,28.8,42.2,0.62,0.46,71.2,0.15,0.15,100.0,0.00,0.0,44.3,248.9,145.4,0.15,0.00,0.00,0.00,0.00,50.0,0.00,Matches,186ed8f1
100,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,2.9,70.7,1.72,11.7,42.8,17.9,3.79,70.7,2.07,1.72,83.3,0.34,16.7,48.6,173.4,71.4,0.00,2.07,0.00,1.72,2.07,53.8,6.55,Matches,c84af55e
101,Lucas Calegari,br BRA,DF,Fluminense,19,2002,7.3,66.3,2.33,18.1,30.4,18.2,1.23,66.3,3.42,1.10,32.0,1.64,48.0,33.0,179.3,106.0,2.05,1.92,0.41,0.82,1.23,40.4,4.52,Matches,a564fe91
102,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,31.3,32.9,1.66,2.40,13.0,17.9,6.74,32.8,1.82,0.89,49.1,0.83,45.6,17.1,87.3,32.5,1.31,0.67,0.64,3.04,1.28,24.5,6.17,Matches,6922f806
103,Guilherme Camacho,br BRA,MF,Santos,31,1990,18.1,63.5,3.26,16.5,40.9,6.57,0.44,63.5,0.33,0.17,50.0,0.11,33.3,33.8,151.4,75.5,0.50,0.83,0.00,0.33,0.50,41.5,0.55,Matches,61a6775b
