Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,0.13,0.00,0.00,1.13,0.38,0.00,0.00,0.75,0.75,0.00,0.00,0.00,3.63,4.63,1.38,77.1,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,0.14,0.00,0.00,1.55,1.86,0.10,5.81,0.24,1.05,0.00,0.00,0.00,4.90,0.37,0.54,40.7,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,1.00,0.00,0.00,5.00,0.00,0.00,2.00,0.50,1.50,0.00,0.00,0.00,9.50,0.50,2.50,16.7,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,0.10,0.00,0.00,0.58,1.65,0.39,5.16,0.48,0.58,0.00,0.00,0.00,4.32,0.48,1.16,29.4,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,0.55,0.00,0.00,2.05,1.23,0.41,2.74,1.37,0.96,0.00,0.00,0.00,4.38,0.82,2.05,28.6,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,2.50,33.3,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,0.71,0.00,0.00,3.02,1.83,0.32,4.37,0.79,1.27,0.00,0.00,0.00,5.63,0.71,1.43,33.3,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,0.00,0.00,0.00,1.03,1.47,0.13,4.81,0.90,0.96,0.00,0.00,0.00,4.29,0.71,0.83,45.8,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,0.30,0.00,0.00,1.95,1.10,0.00,0.18,1.59,1.77,0.00,0.00,0.00,5.00,1.65,1.22,57.4,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,0.70,0.00,0.00,1.86,0.23,0.00,1.16,0.70,1.40,0.00,0.00,0.00,5.12,0.00,1.16,0.0,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,0.21,0.00,0.00,2.19,0.83,0.00,2.50,1.67,0.83,0.00,0.00,0.00,3.23,5.31,2.60,67.1,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,0.12,0.04,0.04,1.34,1.26,0.12,1.98,0.55,0.71,0.00,0.00,0.00,5.10,1.86,1.82,50.5,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,1.11,0.00,0.00,6.67,4.44,2.22,0.00,0.00,1.11,0.00,0.00,0.00,3.33,6.67,4.44,60.0,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,,,0.00,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,0.00,0.00,0.00,1.67,1.67,0.00,13.3,1.67,3.33,0.00,0.00,0.00,8.33,3.33,11.7,22.2,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,0.17,0.00,0.00,0.67,0.33,0.00,0.00,1.00,0.92,0.00,0.08,0.00,6.08,2.25,1.33,62.8,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,0.00,0.00,0.00,0.68,0.91,0.00,0.00,1.82,1.59,0.00,0.00,0.00,5.00,0.91,0.91,50.0,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,0.16,0.00,0.00,1.35,2.62,0.08,1.19,0.56,0.71,0.00,0.00,0.08,5.71,1.98,2.70,42.4,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,0.50,0.00,0.00,1.67,0.71,0.00,0.29,1.46,1.54,0.00,0.04,0.00,5.54,1.04,0.79,56.8,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,0.56,0.00,0.00,2.22,2.22,0.00,0.00,2.78,1.67,0.00,0.00,0.00,6.11,1.11,0.00,100.0,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,0.48,0.04,0.04,0.44,0.84,0.75,1.50,0.09,0.22,0.04,0.00,0.00,2.33,0.18,0.26,40.0,Matches,72d0e1b6
