Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
26,André,br BRA,MF,Fluminense,20,2001,33.5,67.7,73.4,92.3,1027.1,307.4,37.9,39.9,95.0,23.0,24.2,94.9,4.45,5.37,82.8,0.03,0.05,0.06,-0.02,0.84,6.54,0.33,0.09,5.97,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,8.1,13.8,20.4,67.9,187.2,36.8,9.38,12.3,76.0,3.70,5.43,68.2,0.49,0.74,66.7,0.00,0.02,0.09,-0.02,0.62,0.99,0.00,0.00,1.23,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,13.3,23.3,57.1,113.3,83.3,13.3,13.3,100.0,0.00,3.33,0.0,0.00,6.67,0.0,0.00,0.00,0.00,0.00,3.33,3.33,0.00,0.00,3.33,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,16.0,22.1,72.6,218.9,53.4,10.0,13.2,75.7,3.96,5.09,77.8,1.13,1.51,75.0,0.19,0.15,0.06,0.04,0.94,1.51,0.00,0.00,1.70,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,9.80,14.5,67.8,138.2,50.7,5.64,6.93,81.4,3.17,5.05,62.7,0.40,0.99,40.0,0.10,0.04,0.04,0.06,0.40,0.30,0.40,0.30,0.30,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,68.1,79.3,85.8,1088.0,355.3,36.9,39.6,93.3,26.2,29.3,89.6,3.87,7.17,54.0,0.16,0.20,0.23,-0.04,1.83,6.39,1.62,0.94,7.38,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,50.9,57.5,88.4,1000.3,380.9,16.6,18.2,90.9,27.5,29.7,92.4,6.18,8.14,75.9,0.00,0.04,0.08,-0.04,0.69,9.71,0.20,0.10,7.65,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,77.8,94.4,82.4,1042.2,204.4,47.8,48.9,97.7,21.1,31.1,67.9,2.22,4.44,50.0,3.33,0.89,0.78,2.44,4.44,2.22,2.22,1.11,6.67,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,46.3,52.9,87.5,978.3,315.8,11.3,12.1,92.8,26.6,29.9,89.1,6.75,8.88,76.1,0.00,0.01,0.00,-0.01,0.13,1.75,0.00,0.00,2.25,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,51.9,62.5,83.0,679.3,197.1,32.9,35.8,92.0,12.6,15.4,82.0,2.40,5.10,47.0,0.34,0.24,0.22,0.10,2.43,3.99,1.72,0.30,5.78,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,29.0,43.5,66.7,482.0,187.0,13.0,15.0,86.7,13.5,17.0,79.4,2.00,7.00,28.6,0.00,0.00,0.10,0.00,0.00,2.00,2.00,0.00,5.00,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,1,1,100.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,26.8,37.5,71.5,428.1,111.9,13.1,15.9,82.4,9.90,12.8,77.1,2.29,5.42,42.3,0.19,0.19,0.18,0.00,2.48,1.68,1.39,0.42,3.61,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,33.6,44.5,75.4,599.2,155.3,15.2,16.8,90.2,13.7,17.7,77.5,3.70,6.85,54.0,0.00,0.10,0.10,-0.10,1.64,4.11,1.10,0.14,5.89,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,3.75,3.75,100.0,52.5,6.25,2.50,2.50,100.0,1.25,1.25,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,13.7,23.3,58.7,199.1,44.8,7.38,9.44,78.2,5.16,8.41,61.3,0.48,2.22,21.4,0.08,0.16,0.13,-0.08,1.11,0.63,0.56,0.40,1.03,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,53.8,66.0,81.6,919.7,264.9,26.3,29.7,88.6,20.4,23.6,86.4,5.71,9.29,61.4,0.19,0.24,0.17,-0.04,2.37,7.05,0.90,0.00,8.91,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,26.9,34.1,78.9,491.0,149.9,11.5,13.7,84.0,11.9,14.2,83.7,3.05,4.63,65.8,0.00,0.01,0.01,-0.01,0.24,2.56,0.18,0.00,2.68,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,42.1,51.2,82.3,679.8,263.0,21.2,22.8,92.9,17.4,20.5,85.2,2.56,4.88,52.4,0.00,0.07,0.05,-0.07,1.16,3.72,0.70,0.23,4.42,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,30.4,43.6,69.7,519.8,290.7,14.9,17.8,83.6,12.7,18.8,67.8,2.60,5.42,48.1,0.21,0.10,0.08,0.10,0.83,4.90,0.42,0.42,4.90,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,23.2,33.4,69.5,366.2,111.2,12.3,15.7,78.1,7.27,9.92,73.3,2.13,3.79,56.3,0.08,0.12,0.10,-0.04,1.42,2.02,1.03,0.12,4.31,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,16.7,22.2,75.0,233.3,37.8,8.89,12.2,72.7,6.67,8.89,75.0,0.00,0.00,,0.00,0.11,0.00,-0.11,4.44,3.33,0.00,0.00,2.22,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,,,,,,,,,,,,,,,0.00,,,,,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,25.0,48.3,51.7,450.0,168.3,13.3,26.7,50.0,10.0,16.7,60.0,1.67,1.67,100.0,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,5.00,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,40.8,51.8,78.9,813.8,381.4,12.1,14.2,85.3,24.4,27.3,89.3,4.00,8.58,46.6,0.00,0.00,0.02,0.00,0.00,1.83,0.00,0.00,2.83,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,36.4,42.7,85.1,640.9,229.5,14.3,15.9,90.0,16.8,18.0,93.7,3.18,5.68,56.0,0.00,0.00,0.00,0.00,0.23,1.14,0.23,0.00,0.68,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,17.4,26.6,65.4,276.1,65.2,9.52,11.8,80.5,5.63,8.33,67.6,1.27,2.30,55.2,0.08,0.20,0.17,-0.12,1.11,1.67,0.32,0.08,2.06,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,42.3,47.9,88.3,781.9,215.1,18.0,19.7,91.1,18.5,20.0,92.5,5.08,6.21,81.9,0.08,0.06,0.05,0.02,0.71,4.50,0.46,0.04,5.04,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,33.3,42.8,77.9,602.2,173.9,13.9,17.2,80.6,17.2,20.0,86.1,2.22,4.44,50.0,0.00,0.06,0.00,-0.06,1.67,6.67,0.00,0.00,5.00,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,25.8,31.8,81.3,416.2,97.0,13.2,14.8,88.7,9.87,11.2,87.8,1.94,3.17,61.1,0.04,0.20,0.23,-0.16,1.32,2.20,2.16,0.26,5.02,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,21.5,33.1,64.9,370.2,109.2,10.2,15.1,67.7,7.79,10.3,75.3,2.33,3.84,60.6,0.12,0.13,0.20,-0.01,0.70,1.63,1.05,0.00,3.72,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,26.2,40.4,65.0,505.9,250.2,10.2,12.9,78.9,11.4,16.0,71.4,4.12,9.21,44.8,0.09,0.07,0.11,0.02,0.96,2.19,0.96,0.44,2.54,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,6.67,13.3,50.0,56.7,43.3,3.33,3.33,100.0,0.00,3.33,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,36.7,46.7,78.6,426.7,50.0,23.3,23.3,100.0,10.0,10.0,100.0,0.00,3.33,0.0,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,3.33,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,48.4,61.3,79.1,955.6,417.2,18.8,21.8,86.1,20.8,24.2,86.2,8.13,13.3,60.9,0.10,0.21,0.17,-0.10,2.19,7.81,0.94,0.10,7.60,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,38.7,47.5,81.4,529.8,148.0,21.8,24.6,88.7,12.6,15.2,82.8,1.31,2.62,50.0,0.16,0.10,0.11,0.07,1.15,2.79,0.49,0.16,3.28,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,42.1,58.7,71.8,775.8,284.8,18.8,23.1,81.4,15.8,20.1,78.7,6.19,11.7,53.1,0.36,0.23,0.29,0.13,3.45,5.00,3.21,0.60,8.45,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,14.7,25.8,56.9,454.2,346.5,2.85,2.85,100.0,6.21,6.42,96.7,5.52,16.2,34.0,0.00,0.00,0.00,-0.00,0.09,0.67,0.00,0.00,0.00,Matches,5d699228
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,49.3,57.9,85.2,801.4,255.0,22.1,24.3,91.2,23.6,25.0,94.3,2.14,5.71,37.5,0.00,0.00,0.00,0.00,0.00,5.71,0.00,0.00,3.57,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,31.7,37.9,83.5,507.0,149.2,16.6,18.6,89.1,11.1,12.7,87.2,2.45,3.65,67.1,0.10,0.10,0.11,-0.00,1.15,3.89,0.96,0.14,5.96,Matches,828a04fa
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,3,3,100.0,73,18,2,2,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,48.9,58.3,83.8,938.2,333.3,17.2,18.8,91.5,26.5,29.0,91.3,4.81,9.09,52.9,0.05,0.02,0.01,0.03,0.16,2.14,0.16,0.05,2.78,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,25.0,30.8,81.1,435.0,101.7,13.3,16.7,80.0,9.17,10.0,91.7,2.50,2.50,100.0,0.00,0.08,0.08,-0.08,0.83,3.33,1.67,0.00,2.50,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,36.5,46.1,79.1,647.8,223.9,16.8,19.1,87.9,15.6,18.8,83.1,3.54,6.22,56.9,0.00,0.02,0.06,-0.02,0.73,2.44,0.73,0.49,2.80,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,14.2,20.1,70.8,202.3,32.8,7.86,10.1,78.0,4.50,6.01,74.8,0.89,1.18,75.0,0.00,0.04,0.03,-0.04,0.85,0.70,0.52,0.07,1.44,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,15.8,23.2,68.1,477.8,371.4,3.15,3.15,100.0,5.69,5.69,100.0,6.85,14.1,48.6,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,Matches,069cb4f8
72,Vinícius Boff,br BRA,MF,Cuiabá,22,1999,0.1,70.0,80.0,87.5,560.0,140.0,50.0,50.0,100.0,0.00,0.00,,0.00,0.00,,10.0,0.00,0.00,10.0,10.0,0.00,0.00,0.00,10.0,Matches,badaed00
73,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,20.5,30.7,66.7,322.1,123.9,10.1,12.7,79.2,8.76,11.8,74.5,1.18,3.12,37.7,0.41,0.23,0.22,0.18,2.00,2.65,2.00,0.35,4.88,Matches,737945d9
74,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,47.4,62.4,76.0,854.9,329.3,21.2,23.8,89.1,19.9,24.7,80.7,5.48,11.2,49.1,0.14,0.15,0.13,-0.00,1.73,3.80,0.63,0.53,4.33,Matches,71879f82
75,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,19.0,25.0,76.0,504.0,300.0,4.00,4.00,100.0,10.0,10.0,100.0,5.00,11.0,45.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,55196057
76,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,35.0,40.8,85.8,700.8,242.5,10.2,11.0,93.2,20.9,23.1,90.5,3.50,5.42,64.6,0.03,0.02,0.01,0.01,0.06,1.92,0.03,0.00,2.60,Matches,d0b29bbd
77,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,68.3,83.3,82.0,1186.7,293.3,28.3,33.3,85.0,28.3,28.3,100.0,10.0,15.0,66.7,1.67,0.67,0.67,1.00,5.00,11.7,3.33,0.00,18.3,Matches,e90af77c
78,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,26.2,34.5,76.0,363.2,117.9,17.5,19.6,89.4,6.98,9.62,72.5,0.94,2.83,33.3,0.00,0.08,0.08,-0.08,1.32,3.77,0.38,0.19,3.02,Matches,e90af77c
79,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,22.9,29.3,78.3,333.4,83.8,13.5,15.7,85.7,7.75,10.0,77.2,1.00,1.39,71.9,0.04,0.06,0.11,-0.02,0.91,1.52,1.04,0.39,2.81,Matches,8a0a73ad
80,David Braz,br BRA,DF,Fluminense,34,1987,7.9,44.1,52.7,83.7,763.4,351.0,20.8,22.5,92.1,18.9,21.1,89.2,3.67,7.34,50.0,0.00,0.00,0.01,0.00,0.13,2.78,0.00,0.00,2.78,Matches,9313b408
81,Breno,br BRA,FW,Palmeiras,26,1996,3.7,29.5,40.8,72.2,509.5,110.0,14.9,17.8,83.3,10.5,14.6,72.2,3.51,5.14,68.4,0.00,0.08,0.11,-0.08,1.89,1.62,2.16,0.81,4.05,Matches,e0016d00
82,Bressan,br BRA,DF,Avaí,29,1993,20.6,42.5,50.8,83.7,977.9,402.7,8.93,9.66,92.5,24.6,26.7,92.3,8.64,13.2,65.4,0.00,0.00,0.01,-0.00,0.15,2.96,0.05,0.00,2.23,Matches,3db1684c
83,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,23.8,34.1,69.8,452.9,203.4,9.40,11.2,84.3,10.9,15.3,71.5,3.10,6.40,48.4,0.15,0.06,0.04,0.09,0.55,1.85,0.15,0.05,1.95,Matches,fb29d05d
84,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,29.2,36.2,80.9,437.7,203.8,20.0,20.0,100.0,5.38,6.15,87.5,3.85,7.69,50.0,0.00,0.08,0.15,-0.08,0.77,4.62,0.00,0.00,3.85,Matches,f7a3e78a
85,Bruno,br BRA,MF,Bragantino,18,2003,0.4,25.0,27.5,90.9,375.0,80.0,10.0,12.5,80.0,10.0,10.0,100.0,2.50,2.50,100.0,0.00,0.00,0.00,0.00,0.00,7.50,0.00,0.00,2.50,Matches,ad8c3404
86,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,52.9,58.9,89.8,1101.3,394.7,16.1,17.5,91.7,28.5,29.9,95.1,8.23,11.1,74.3,0.08,0.03,0.02,0.05,0.15,4.38,0.23,0.15,4.23,Matches,470d197b
87,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,21.9,29.1,75.2,322.3,48.4,13.0,15.6,83.6,6.78,8.89,76.3,1.56,2.22,70.0,0.00,0.04,0.06,-0.04,1.11,1.44,0.56,0.00,2.44,Matches,768cbb2d
88,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,27.4,36.7,74.7,430.3,106.0,15.0,17.6,85.0,9.20,11.5,79.9,2.40,5.52,43.5,0.08,0.10,0.12,-0.02,1.28,2.40,0.72,0.16,3.28,Matches,5752f96d
89,Busanello,br BRA,DF,Juventude,23,1998,3.2,36.3,46.6,77.9,616.6,284.1,18.1,19.4,93.5,14.4,18.4,78.0,3.75,6.88,54.5,0.63,0.16,0.13,0.47,0.94,2.50,0.63,0.31,1.88,Matches,788c4780
90,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,45.1,57.5,78.5,714.2,282.6,23.7,26.7,88.9,17.2,21.2,81.3,3.10,6.63,46.7,0.10,0.08,0.09,0.02,0.91,3.60,1.01,0.20,4.78,Matches,82549f54
91,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,3.2,17.2,21.9,78.6,233.1,38.8,9.06,10.6,85.3,5.63,6.25,90.0,0.63,1.56,40.0,0.00,0.00,0.03,0.00,0.00,1.25,0.63,0.31,1.25,Matches,8f774c7f
92,Daniel Cabral,br BRA,FW,Flamengo,19,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,c080bb5e
93,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,19.1,40.7,56.4,72.1,665.5,297.6,22.5,25.4,88.5,12.6,17.0,74.2,4.45,10.2,43.8,0.00,0.14,0.19,-0.14,2.09,2.67,2.09,1.26,4.61,Matches,16cd17b7
94,Raúl Cáceres,py PAR,DF,América (MG),30,1991,18.0,32.3,46.2,69.9,523.2,232.3,16.7,19.0,87.7,11.7,17.8,65.7,2.72,6.28,43.4,0.11,0.17,0.11,-0.06,1.39,2.33,1.22,0.83,3.72,Matches,6d9dc5be
95,Matheus Cadorini,br BRA,FW,Internacional,19,2002,1.0,11.0,16.0,68.8,230.0,19.0,5.00,8.00,62.5,3.00,3.00,100.0,3.00,3.00,100.0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,Matches,7f2b23f8
96,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,3.5,16.9,24.3,69.4,208.0,22.9,10.0,13.1,76.1,4.29,6.29,68.2,0.57,1.14,50.0,0.00,0.06,0.03,-0.06,0.86,1.14,0.29,0.00,1.43,Matches,7f2b23f8
97,Caetano,br BRA,DF,Goiás,22,1999,24.6,29.6,36.1,82.1,640.8,262.8,7.93,8.82,89.9,15.8,17.5,90.5,5.45,8.86,61.5,0.00,0.01,0.01,-0.01,0.33,1.63,0.12,0.00,2.24,Matches,226e5efd
98,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,6.2,25.8,33.7,76.6,423.4,115.3,12.4,14.4,86.5,10.2,12.3,82.9,2.42,3.55,68.2,0.16,0.10,0.11,0.06,0.97,1.13,2.26,0.81,3.23,Matches,8d043f1d
99,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,6.5,59.8,63.8,93.7,1134.8,446.0,18.8,20.2,93.1,34.5,36.2,95.3,5.85,6.77,86.4,0.00,0.00,0.02,0.00,0.00,5.23,0.00,0.00,5.69,Matches,186ed8f1
100,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,2.9,51.7,59.3,87.2,740.0,210.3,27.6,29.3,94.1,21.4,23.1,92.5,1.38,3.45,40.0,0.00,0.14,0.21,-0.14,1.38,4.83,0.69,0.00,5.17,Matches,c84af55e
101,Lucas Calegari,br BRA,DF,Fluminense,19,2002,7.3,47.1,56.0,84.1,682.5,201.0,27.9,29.9,93.6,15.5,18.1,85.6,2.47,4.66,52.9,0.14,0.05,0.03,0.08,1.10,3.01,0.41,0.14,4.66,Matches,a564fe91
102,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,31.3,13.4,20.8,64.3,168.8,32.5,8.79,11.8,74.7,3.23,5.62,57.4,0.38,0.77,50.0,0.06,0.10,0.05,-0.03,0.89,0.61,0.61,0.10,1.31,Matches,6922f806
103,Guilherme Camacho,br BRA,MF,Santos,31,1990,18.1,47.4,54.0,87.7,870.9,214.2,18.6,20.6,90.3,22.8,24.8,92.0,4.70,6.35,73.9,0.06,0.04,0.04,0.02,0.66,4.48,0.39,0.11,4.09,Matches,61a6775b
104,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,0.8,35.0,42.5,82.4,450.0,136.3,27.5,28.8,95.7,7.50,10.0,75.0,0.00,2.50,0.0,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,3.75,Matches,2c79da44
105,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,32.3,39.4,82.1,553.9,145.4,15.1,16.8,90.0,14.0,16.0,87.5,2.76,4.81,57.3,0.00,0.02,0.03,-0.02,0.32,3.24,0.38,0.11,4.38,Matches,dfb81359
106,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,62.5,67.5,92.6,1367.5,497.5,7.50,8.75,85.7,42.5,46.3,91.9,12.5,12.5,100.0,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,3.75,Matches,c455a045
107,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,32.5,45.3,71.6,557.1,193.7,14.1,17.2,82.1,14.8,19.6,75.3,2.71,6.40,42.2,0.07,0.05,0.05,0.01,0.62,2.33,0.34,0.17,3.25,Matches,ca151606
108,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,12.7,16.8,75.8,178.8,24.3,7.69,9.33,82.4,3.30,4.18,79.0,0.88,1.17,75.0,0.09,0.04,0.03,0.05,0.61,0.58,0.15,0.03,0.85,Matches,9ccf4e14
109,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,19.5,26.9,72.6,276.1,87.9,11.3,13.5,83.9,6.28,8.21,76.6,0.96,3.08,31.3,0.00,0.08,0.08,-0.08,1.22,1.99,0.83,0.26,2.24,Matches,4f5a2f38
110,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,63.1,73.6,85.8,1174.5,306.6,25.8,27.5,93.9,28.2,31.7,89.2,7.65,11.6,66.1,0.00,0.02,0.08,-0.02,0.78,6.47,0.69,0.00,7.06,Matches,45075f2f
111,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,16.4,24.4,67.3,263.5,91.8,9.67,11.1,87.3,4.89,7.72,63.4,1.58,3.59,43.9,0.05,0.09,0.07,-0.04,0.87,1.14,0.65,0.49,2.23,Matches,ea2634a1
112,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,38.8,54.9,70.7,664.5,288.4,17.9,21.5,83.3,16.7,21.9,76.1,3.28,8.17,40.2,0.12,0.11,0.13,0.01,1.36,3.75,0.93,0.46,5.23,Matches,91ba7336
113,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,31.1,41.6,74.7,544.9,143.6,14.0,16.0,87.5,11.5,15.1,75.9,3.64,7.64,47.6,0.00,0.05,0.07,-0.05,1.27,3.27,0.00,0.00,3.64,Matches,7a694ae4
114,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,41.4,48.5,85.3,639.9,177.9,21.9,23.8,92.2,15.4,17.8,86.4,2.42,3.38,71.7,0.13,0.13,0.09,0.00,1.27,3.89,0.51,0.06,4.78,Matches,7426f085
115,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,34.7,49.6,69.8,584.7,291.3,17.6,20.5,85.7,14.0,19.2,73.0,2.40,6.20,38.8,0.00,0.03,0.05,-0.03,0.54,4.11,1.09,0.78,5.50,Matches,662475de
116,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,26.1,32.2,81.1,533.2,199.3,8.29,8.78,94.4,13.2,14.6,90.0,4.15,8.05,51.5,0.24,0.15,0.12,0.10,0.49,0.73,0.00,0.00,0.73,Matches,00d6e369
117,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,43.1,55.9,77.2,856.2,205.5,18.3,20.3,89.8,14.8,18.3,81.1,8.28,13.4,61.5,0.34,0.10,0.14,0.24,2.07,4.83,1.03,0.00,6.90,Matches,e93e479e
118,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,12.2,15.2,80.5,135.4,13.9,9.07,10.2,89.1,2.04,2.59,78.6,0.00,0.19,0.0,0.00,0.07,0.04,-0.07,1.30,0.74,0.00,0.00,0.00,Matches,f50b0b2b
119,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,15.7,24.0,65.4,504.7,406.7,2.55,2.55,100.0,6.04,6.04,100.0,6.98,15.2,46.0,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,Matches,ad9e7995
120,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,32.5,32.5,100.0,312.5,55.0,20.0,20.0,100.0,7.50,7.50,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,Matches,ebb2d232
121,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,32.1,42.4,75.8,513.6,123.7,17.0,20.4,83.2,11.2,14.1,79.4,2.76,5.66,48.8,0.00,0.04,0.04,-0.04,0.79,2.89,0.26,0.13,3.29,Matches,a32d25d3
122,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,34.4,44.4,77.5,454.4,86.3,23.8,26.9,88.4,8.75,13.1,66.7,0.63,1.25,50.0,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,2.50,Matches,a32d25d3
123,Cássio,br BRA,GK,Corinthians,34,1987,34.0,20.7,28.2,73.5,633.2,435.1,2.50,2.50,100.0,9.59,9.68,99.1,8.62,16.0,53.9,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,Matches,d42f6326
124,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,39.2,46.6,84.1,834.2,324.7,10.5,11.4,92.5,21.6,23.3,92.7,6.63,10.8,61.5,0.00,0.01,0.02,-0.01,0.23,2.29,0.03,0.00,2.89,Matches,0470eeba
125,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,17.4,23.4,74.3,241.6,66.9,10.7,12.9,82.7,5.00,6.21,80.6,0.69,1.38,50.0,0.17,0.14,0.05,0.03,0.86,1.38,1.72,0.52,3.10,Matches,555311f2
126,Cauã,br BRA,DF,Juventude,18,2003,0.5,26.0,38.0,68.4,440.0,274.0,16.0,18.0,88.9,6.00,10.0,60.0,4.00,8.00,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,Matches,3c48a088
127,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,20.9,31.1,67.1,630.1,453.7,2.52,2.56,98.4,9.72,9.88,98.4,8.44,18.4,45.9,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,Matches,8470f026
