Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
728,Caio Vinícius,br BRA,MF,Goiás,23,1999,17.3,23.1,28.6,80.6,400.4,94.3,9.48,11.2,84.5,11.2,12.9,86.6,1.85,2.72,68.1,0.00,0.02,0.03,-0.02,0.29,1.62,0.17,0.06,2.43,Matches,8529df9f
729,Mateus Vital,br BRA,FWMF,Corinthians,23,1998,8.2,32.8,41.3,79.4,417.9,102.6,21.6,23.8,90.8,8.78,11.3,77.4,0.73,2.20,33.3,0.24,0.10,0.12,0.15,1.22,2.07,1.34,0.24,3.78,Matches,db9c8fa4
730,Vitão,br BRA,DF,Internacional,21,2000,31.0,34.1,40.0,85.1,717.8,250.8,8.61,9.48,90.8,20.3,22.0,92.2,4.77,7.68,62.2,0.00,0.00,0.01,0.00,0.03,2.03,0.06,0.00,1.32,Matches,d4f034db
731,Vitinho,br BRA,FW,Atl Paranaense,22,1999,15.9,19.6,26.5,73.9,281.1,65.3,12.1,14.6,82.8,6.29,8.05,78.1,0.63,1.51,41.7,0.00,0.05,0.05,-0.05,0.50,1.51,1.07,0.19,2.64,Matches,06d4b2e4
732,Vitinho,br BRA,FWMF,Flamengo,28,1993,5.3,30.4,37.4,81.3,468.3,123.8,16.4,18.7,87.9,11.7,14.0,83.8,1.51,2.26,66.7,0.00,0.11,0.17,-0.11,1.32,3.40,0.75,0.00,4.34,Matches,a9e68c94
733,Vitinho,br BRA,FWMF,Avaí,21,2000,4.0,18.3,24.0,76.0,294.3,90.8,9.25,11.5,80.4,7.00,8.75,80.0,1.75,2.25,77.8,0.00,0.05,0.03,-0.05,0.50,1.50,0.25,0.00,2.00,Matches,5e5cc7a9
734,João Vitor,br BRA,MF,Coritiba,21,2000,0.1,10.0,10.0,100.0,100.0,40.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b8d3d5ee
735,Vladimir,br BRA,GK,Avaí,32,1989,22.5,24.5,29.7,82.5,588.8,362.1,5.47,5.51,99.2,13.6,13.7,99.4,5.29,10.2,51.7,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,Matches,bbae502c
736,Max Walef,br BRA,GK,Fortaleza,28,1993,5.0,15.0,19.6,76.5,410.8,285.0,3.00,3.00,100.0,6.40,6.60,97.0,5.40,9.80,55.1,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,Matches,6411a48d
737,Walter,br BRA,GK,Cuiabá,34,1987,27.4,19.6,26.6,73.6,629.5,460.5,2.77,2.81,98.7,7.77,7.92,98.2,8.98,15.8,56.8,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,Matches,8bae322b
738,Wanderson,br BRA,DF,Atl Goianiense,30,1991,27.2,35.6,40.9,87.1,768.2,276.0,8.71,9.52,91.5,21.3,23.1,92.2,5.33,7.50,71.1,0.00,0.01,0.02,-0.01,0.18,1.91,0.04,0.00,2.10,Matches,f612025c
739,Wanderson,br BRA,FWMF,Internacional,27,1994,17.8,24.5,31.2,78.6,340.8,79.4,14.8,16.5,89.8,8.15,10.2,79.7,0.79,1.97,40.0,0.17,0.17,0.19,-0.01,1.35,0.84,1.69,0.62,3.09,Matches,5da33b33
740,Warley,br BRA,FWMF,Coritiba,22,1999,6.2,25.2,35.0,71.9,354.5,92.9,14.5,16.9,85.7,7.42,10.5,70.8,1.13,3.06,36.8,0.00,0.06,0.06,-0.06,0.97,0.81,0.65,0.00,1.77,Matches,8f385e2e
741,Welington,br BRA,DFFW,São Paulo,20,2001,18.6,44.4,58.9,75.4,745.2,261.6,22.3,24.4,91.4,17.3,23.1,74.7,4.09,7.96,51.4,0.32,0.13,0.17,0.19,2.10,2.42,2.31,0.81,5.70,Matches,a7f95b1f
742,José Welison,br BRA,MF,Fortaleza,26,1995,19.1,38.1,46.4,82.2,772.3,210.9,14.0,16.7,83.7,16.7,18.6,89.9,6.60,8.59,76.8,0.00,0.05,0.08,-0.05,0.68,5.39,0.58,0.21,4.71,Matches,b6cb4d16
743,Weliton,cl CHI,MF,Juventude,16,2005,0.0,1,1,100.0,11,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,721322fb
744,Wellington,br BRA,DF,Avaí,26,1995,3.0,36.0,43.7,82.4,779.0,302.3,6.00,7.33,81.8,25.7,28.0,91.7,4.33,7.67,56.5,0.00,0.00,0.00,0.00,0.33,4.67,0.00,0.00,1.33,Matches,ed36f825
745,Welliton,br BRA,MFFW,Bragantino,21,2000,1.1,34.5,46.4,74.5,524.5,125.5,19.1,23.6,80.8,10.9,14.5,75.0,2.73,4.55,60.0,0.00,0.27,0.36,-0.27,2.73,0.91,2.73,0.91,4.55,Matches,d1a7e953
746,Wendell,br BRA,MF,Ceará,19,2002,0.1,20.0,30.0,66.7,270.0,50.0,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,82b7e058
747,Werik,br BRA,FW,Bragantino,20,2001,5.7,13.2,16.0,82.4,178.1,13.3,8.07,8.95,90.2,4.04,4.56,88.5,0.18,0.35,50.0,0.18,0.14,0.04,0.04,0.88,0.35,0.18,0.00,0.88,Matches,8b20ba5f
748,Werton,br BRA,FW,Flamengo,18,2003,0.3,16.7,23.3,71.4,236.7,113.3,3.33,6.67,50.0,10.0,13.3,75.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,10.0,Matches,d07bde9d
749,Wescley,br BRA,MF,Ceará,30,1991,0.8,25.0,28.8,87.0,463.8,125.0,10.0,11.3,88.9,12.5,13.8,90.9,2.50,2.50,100.0,0.00,0.00,0.00,0.00,1.25,3.75,0.00,0.00,10.0,Matches,5a43c680
750,Wesley,br BRA,FW,Palmeiras,22,1999,7.2,19.9,30.3,65.6,346.7,77.5,9.44,12.5,75.6,8.47,11.5,73.5,1.94,3.47,56.0,0.14,0.15,0.14,-0.01,1.11,1.81,0.69,0.28,4.44,Matches,434de3a3
751,Weverson,br BRA,MF,Bragantino,21,2000,0.5,14.0,22.0,63.6,260.0,64.0,4.00,8.00,50.0,10.0,10.0,100.0,0.00,4.00,0.0,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,Matches,b9829bf7
752,Weverton,br BRA,DF,Internacional,22,1999,0.5,56.0,70.0,80.0,954.0,296.0,24.0,30.0,80.0,28.0,32.0,87.5,4.00,6.00,66.7,0.00,0.00,0.00,0.00,2.00,4.00,0.00,0.00,6.00,Matches,6ae59cc2
753,Wéverton,br BRA,GK,Palmeiras,34,1987,34.0,23.6,31.1,75.8,615.7,419.5,5.44,5.44,100.0,11.1,11.2,99.5,6.88,14.2,48.5,0.00,0.00,0.00,0.00,0.03,0.82,0.00,0.00,0.00,Matches,81be82e9
754,Rafael William,br BRA,GK,Coritiba,20,2001,6.0,14.8,21.0,70.6,448.7,349.7,2.83,2.83,100.0,6.00,6.00,100.0,5.83,11.8,49.3,0.17,0.07,0.00,0.10,0.17,0.33,0.00,0.00,0.00,Matches,eb9f6c10
755,Willian,br BRA,FWMF,Fluminense,35,1986,5.3,26.6,32.6,81.5,347.2,63.6,16.6,18.9,88.0,6.60,7.17,92.1,1.13,2.08,54.5,0.19,0.09,0.11,0.09,1.13,1.89,0.19,0.00,2.64,Matches,1f85d0c8
756,Willian,br BRA,FW,Corinthians,33,1988,9.2,32.5,42.4,76.7,536.1,115.3,18.4,20.2,90.9,10.4,14.0,74.4,2.93,5.54,52.9,0.22,0.14,0.13,0.08,1.85,2.83,1.63,0.11,5.22,Matches,8b9ebd03
757,Xavier,br BRA,MF,Corinthians,21,2000,1.8,34.4,40.6,84.9,508.9,162.2,20.6,22.2,92.5,10.6,12.2,86.4,2.78,4.44,62.5,0.00,0.06,0.00,-0.06,1.11,2.22,0.00,0.00,3.89,Matches,f16ed217
758,Samuel Xavier,br BRA,DF,Fluminense,31,1990,31.4,52.3,62.0,84.3,705.3,228.3,32.7,35.3,92.7,15.7,18.3,85.4,1.62,4.04,40.2,0.06,0.13,0.14,-0.06,1.18,3.18,1.18,0.51,4.49,Matches,0c870df5
759,Yago,br BRA,MFDF,Fluminense,26,1995,12.6,37.2,47.9,77.6,539.6,149.2,21.7,24.0,90.4,10.4,13.2,78.9,2.38,5.00,47.6,0.00,0.11,0.11,-0.11,1.11,3.57,0.79,0.40,3.02,Matches,e2add0e7
760,Ytalo,br BRA,FW,Bragantino,34,1988,6.9,12.9,14.6,88.1,182.3,22.0,6.96,7.54,92.3,4.06,4.64,87.5,0.87,1.30,66.7,0.00,0.04,0.03,-0.04,0.58,0.43,0.43,0.00,1.59,Matches,423e3d0b
761,Marcos Ytalo,br BRA,DF,Ceará,25,1996,1.8,25.0,32.2,77.6,391.1,171.1,15.0,17.8,84.4,7.78,9.44,82.4,2.22,2.78,80.0,0.00,0.06,0.06,-0.06,1.67,1.11,1.11,0.56,3.33,Matches,70053afc
762,Vinícius Zanocelo,br BRA,MF,Santos,21,2001,22.3,34.4,41.0,83.9,640.5,133.8,13.5,15.6,86.5,16.3,18.3,89.4,3.86,4.93,78.2,0.00,0.06,0.04,-0.06,0.94,3.59,0.31,0.04,4.57,Matches,27457e83
763,Federico Zaracho,ar ARG,MFFW,Atlético Mineiro,23,1998,20.9,37.0,44.7,82.9,542.9,132.1,20.4,22.9,89.3,13.2,15.3,86.3,1.82,2.68,67.9,0.10,0.09,0.08,0.00,1.48,3.25,0.62,0.05,4.31,Matches,803d5265
