Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,1.51,1.51,1.32,0.00,0.00,0.19,0.00,0.00,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,1.98,1.98,0.99,0.00,0.00,0.40,0.50,0.10,0.69,0.69,0.30,0.00,0.00,0.20,0.20,0.00,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,3.46,3.45,2.67,0.42,0.10,0.21,0.05,0.00,0.31,0.31,0.31,0.00,0.00,0.00,0.00,0.00,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,2.06,2.05,2.06,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,7.78,7.50,4.44,1.11,1.11,0.00,1.11,0.00,3.33,3.21,2.22,1.11,0.00,0.00,0.00,0.00,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,0.88,0.87,0.38,0.13,0.00,0.25,0.13,0.00,0.13,0.12,0.13,0.00,0.00,0.00,0.00,0.00,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,4.86,4.87,3.14,1.01,0.27,0.10,0.30,0.03,0.44,0.44,0.24,0.14,0.03,0.03,0.00,0.00,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,3.00,3.03,2.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,5.23,5.23,3.29,0.87,0.29,0.42,0.32,0.03,0.42,0.42,0.19,0.06,0.03,0.06,0.06,0.00,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,3.97,3.95,2.60,0.41,0.55,0.41,0.00,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,1.43,1.42,1.03,0.00,0.24,0.08,0.08,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,5.26,5.26,3.72,0.90,0.26,0.19,0.19,0.00,0.38,0.39,0.32,0.06,0.00,0.00,0.00,0.00,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,1.04,1.04,0.67,0.00,0.06,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,2.56,2.55,2.09,0.00,0.23,0.23,0.00,0.00,0.23,0.23,0.23,0.00,0.00,0.00,0.00,0.00,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,1.88,1.88,1.35,0.21,0.00,0.00,0.10,0.21,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,3.16,3.17,2.49,0.36,0.16,0.08,0.04,0.04,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,4.44,4.24,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,,,,,,,,,,,,,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,1.67,1.55,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,0.58,0.58,0.42,0.00,0.00,0.08,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,0.23,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,2.62,2.61,1.43,0.00,0.40,0.48,0.24,0.08,0.32,0.32,0.08,0.00,0.16,0.08,0.00,0.00,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,2.46,2.46,1.96,0.00,0.17,0.08,0.13,0.13,0.21,0.21,0.17,0.00,0.00,0.00,0.04,0.00,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,5.00,4.88,3.33,0.00,0.56,0.56,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,3.00,2.99,2.33,0.13,0.09,0.26,0.18,0.00,0.26,0.26,0.18,0.00,0.04,0.04,0.00,0.00,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,2.56,2.56,2.56,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.23,0.00,0.00,0.00,0.00,0.00,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,1.93,1.92,0.70,1.05,0.00,0.18,0.00,0.00,0.26,0.26,0.18,0.09,0.00,0.00,0.00,0.00,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,5.52,5.52,3.33,1.25,0.31,0.42,0.10,0.10,0.52,0.52,0.42,0.00,0.00,0.10,0.00,0.00,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,2.30,2.28,2.13,0.00,0.00,0.00,0.16,0.00,0.49,0.49,0.33,0.00,0.00,0.00,0.16,0.00,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,6.79,6.80,4.05,1.79,0.24,0.48,0.12,0.12,0.71,0.72,0.48,0.24,0.00,0.00,0.00,0.00,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,0.18,0.18,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5d699228
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,2.07,2.07,1.63,0.00,0.19,0.10,0.14,0.00,0.19,0.19,0.14,0.00,0.00,0.05,0.00,0.00,Matches,828a04fa
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,0.43,0.43,0.32,0.00,0.00,0.05,0.05,0.00,0.05,0.05,0.00,0.00,0.00,0.05,0.00,0.00,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,2.50,2.50,0.83,0.83,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,2.07,2.06,1.34,0.37,0.12,0.12,0.12,0.00,0.24,0.24,0.12,0.00,0.00,0.12,0.00,0.00,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,1.66,1.66,1.29,0.00,0.04,0.18,0.15,0.00,0.07,0.07,0.00,0.00,0.00,0.04,0.04,0.00,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,069cb4f8
72,Vinícius Boff,br BRA,MF,Cuiabá,22,1999,0.1,10.0,9.00,10.0,0.00,0.00,0.00,0.00,0.00,10.0,9.00,10.0,0.00,0.00,0.00,0.00,0.00,Matches,badaed00
73,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,4.94,4.94,2.88,0.06,1.24,0.18,0.53,0.06,0.65,0.65,0.41,0.00,0.06,0.00,0.18,0.00,Matches,737945d9
74,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,2.45,2.46,1.25,1.11,0.00,0.05,0.00,0.05,0.14,0.14,0.05,0.10,0.00,0.00,0.00,0.00,Matches,71879f82
75,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,55196057
76,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,0.33,0.33,0.30,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d0b29bbd
77,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,8.33,8.04,8.33,0.00,0.00,0.00,0.00,0.00,1.67,1.61,1.67,0.00,0.00,0.00,0.00,0.00,Matches,e90af77c
78,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,2.45,2.46,1.70,0.38,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e90af77c
79,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,2.86,2.86,1.95,0.09,0.48,0.04,0.30,0.00,0.17,0.17,0.13,0.00,0.00,0.00,0.04,0.00,Matches,8a0a73ad
80,David Braz,br BRA,DF,Fluminense,34,1987,7.9,0.63,0.62,0.51,0.00,0.00,0.13,0.00,0.00,0.13,0.12,0.13,0.00,0.00,0.00,0.00,0.00,Matches,9313b408
81,Breno,br BRA,FW,Palmeiras,26,1996,3.7,4.32,4.36,3.51,0.00,0.00,0.27,0.54,0.00,1.08,1.09,0.81,0.00,0.00,0.00,0.27,0.00,Matches,e0016d00
82,Bressan,br BRA,DF,Avaí,29,1993,20.6,0.44,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3db1684c
