Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
127,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8470f026
128,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,11.9,0.92,0.92,0.67,0.00,0.00,0.08,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3fa61ade
129,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,31.5,1.14,1.14,1.08,0.00,0.00,0.06,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,Matches,10fe831e
130,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,30.5,0.36,0.36,0.33,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,589d070c
131,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13.0,0.46,0.46,0.38,0.00,0.00,0.08,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches,84b6acaa
132,Arthur Chaves,br BRA,DF,Avaí,21,2001,16.5,0.24,0.24,0.12,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,913e4711
133,Renato Chaves,br BRA,DF,Juventude,31,1990,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2a51efe8
134,Chico,br BRA,MFFW,Juventude,30,1991,24.2,3.84,3.84,2.11,1.12,0.04,0.12,0.29,0.17,0.21,0.21,0.17,0.00,0.00,0.00,0.04,0.00,Matches,bad7d8a9
135,Christian,br BRA,MF,Atl Paranaense,21,2000,4.8,2.50,2.52,1.88,0.00,0.21,0.21,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a856b456
136,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,26.5,2.38,2.37,1.81,0.04,0.04,0.23,0.26,0.00,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,Matches,875ac6e9
137,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,5.2,2.12,2.10,1.73,0.00,0.19,0.00,0.19,0.00,0.38,0.38,0.19,0.00,0.00,0.00,0.19,0.00,Matches,6ba81b35
138,Léo Cittadini,br BRA,MFFW,Atl Paranaense,27,1994,8.0,1.88,1.87,1.75,0.00,0.00,0.00,0.13,0.00,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,Matches,68410185
139,Luccas Claro,br BRA,DF,Fluminense,30,1991,5.2,0.38,0.39,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3cacc0ec
140,Clayton,br BRA,FWMF,Coritiba,23,1999,3.6,5.00,4.95,3.33,0.00,0.28,0.28,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b05870de
141,Cléber,br BRA,FW,Ceará,25,1996,10.9,2.66,2.67,2.39,0.00,0.00,0.28,0.00,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Matches,e539e239
142,Jean Cléber,br BRA,MF,Avaí,31,1990,9.6,3.33,3.33,2.71,0.00,0.21,0.00,0.21,0.21,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,Matches,16bf849a
143,Cleiton,br BRA,DF,Flamengo,18,2003,0.0,,,,,,,,,,,,,,,,,Matches,741c6251
144,Andrés Colorado,co COL,MF,São Paulo,23,1998,3.4,2.35,2.34,2.35,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,Matches,f3afff11
145,Germán Conti,ar ARG,DF,América (MG),27,1994,18.4,0.71,0.71,0.54,0.00,0.00,0.11,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7b18b6db
146,Jonathan Copete,co COL,FW,Avaí,34,1988,3.1,2.26,2.26,1.61,0.00,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ce070a45
147,Bruno Cortez,br BRA,DF,Avaí,34,1987,27.0,1.37,1.37,1.00,0.11,0.07,0.04,0.15,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Matches,a3a1198a
148,Talles Costa,br BRA,MF,São Paulo,19,2002,6.1,2.30,2.31,1.48,0.16,0.00,0.00,0.33,0.33,0.66,0.66,0.33,0.00,0.00,0.00,0.16,0.16,Matches,d8f15d24
149,Lucas Crispim,br BRA,DFMF,Fortaleza,27,1994,13.0,4.00,4.00,2.23,1.38,0.08,0.08,0.08,0.15,0.23,0.23,0.15,0.08,0.00,0.00,0.00,0.00,Matches,6501ff61
150,Daniel Cruz,br BRA,FWDF,Botafogo (RJ),20,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,86a118c2
151,Tomás Cuello,ar ARG,FW,Atl Paranaense,21,2000,18.0,4.17,4.18,3.00,0.33,0.39,0.22,0.11,0.11,0.39,0.39,0.33,0.06,0.00,0.00,0.00,0.00,Matches,5c8615dd
152,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),33,1988,28.5,0.91,0.91,0.60,0.07,0.00,0.14,0.07,0.04,0.14,0.14,0.07,0.00,0.00,0.04,0.04,0.00,Matches,39fb428f
153,Andrés D'Alessandro,ar ARG,FW,Internacional,40,1981,0.8,6.25,6.34,2.50,2.50,1.25,0.00,0.00,0.00,1.25,1.27,0.00,0.00,1.25,0.00,0.00,0.00,Matches,6a11048a
154,Adailson Dadá,br BRA,MFFW,Goiás,24,1997,27.9,2.58,2.58,1.36,0.50,0.14,0.11,0.47,0.00,0.36,0.36,0.22,0.07,0.00,0.07,0.00,0.00,Matches,2a75cc09
155,Daniel,br BRA,GK,Internacional,27,1994,23.0,0.13,0.13,0.09,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,636fc976
156,Danilo,br BRA,DF,Goiás,24,1997,2.6,0.38,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,415a34c5
157,Danilo,br BRA,MF,Palmeiras,20,2001,30.5,2.59,2.59,2.00,0.07,0.20,0.13,0.13,0.07,0.20,0.20,0.16,0.00,0.00,0.00,0.00,0.03,Matches,a816dbfb
158,David,br BRA,MF,Ceará,17,2004,0.1,10.0,8.18,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,16a42430
159,David,br BRA,FW,Internacional,26,1995,9.1,1.32,1.28,0.99,0.00,0.00,0.11,0.22,0.00,0.22,0.21,0.22,0.00,0.00,0.00,0.00,0.00,Matches,92f9ace5
160,Kayke David,br BRA,FWMF,Flamengo,19,2003,0.3,6.67,6.92,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2285358d
161,Giorgian De Arrascaeta,uy URU,MF,Flamengo,27,1994,16.4,6.89,6.88,4.21,1.22,0.37,0.61,0.37,0.12,0.85,0.85,0.55,0.24,0.00,0.06,0.00,0.00,Matches,be8d02dd
162,Denilson,br BRA,MF,Cuiabá,20,2001,7.8,2.44,2.44,2.18,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9144afdf
163,Dentinho,br BRA,FW,Ceará,33,1989,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,85686f86
164,Dentinho,br BRA,FWMF,Avaí,24,1997,3.2,4.06,4.12,2.81,0.00,0.63,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,aaacc628
165,Valentín Depietri,ar ARG,FWMF,Fortaleza,21,2000,2.6,3.08,3.08,2.69,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d02cb5d7
166,Deyverson,br BRA,FW,Cuiabá,30,1991,14.1,2.70,2.70,1.99,0.00,0.14,0.35,0.21,0.00,0.14,0.14,0.07,0.00,0.07,0.00,0.00,0.00,Matches,2e5e846d
167,Luan Dias,br BRA,MFFW,Goiás,24,1997,8.6,3.02,3.04,2.67,0.12,0.12,0.12,0.00,0.00,0.23,0.23,0.23,0.00,0.00,0.00,0.00,0.00,Matches,a342ce1e
168,Matheus Dias,br BRA,MF,Internacional,24,1997,1.2,2.50,2.50,1.67,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ddfa9005
169,Juan Díaz,co COL,MF,Coritiba,20,2001,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,36839110
170,Diego,br BRA,MFDF,Ceará,33,1988,2.3,1.74,1.75,1.30,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cd09e9a1
171,Diego,br BRA,GK,Atl Goianiense,23,1998,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6b023405
172,Diego,br BRA,DF,São Paulo,22,1999,19.1,0.63,0.63,0.58,0.00,0.00,0.00,0.00,0.05,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,Matches,7fb8f90c
173,Diego,br BRA,MF,Flamengo,36,1985,9.8,2.04,2.04,1.84,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,255a478a
174,Diego,br BRA,GK,Botafogo (RJ),23,1998,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6b023405
175,Dieguinho,br BRA,MFDF,Goiás,26,1995,32.1,2.27,2.27,1.56,0.12,0.22,0.12,0.16,0.09,0.31,0.31,0.25,0.00,0.00,0.00,0.03,0.03,Matches,7e5a7340
176,Dodô,br BRA,DF,Atlético Mineiro,29,1992,10.1,2.28,2.29,1.98,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,99931185
177,Matheus Donelli,br BRA,GK,Corinthians,19,2002,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7c736064
178,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6bfaecc4
179,Douglas,br BRA,DF,Bragantino,33,1988,0.8,,,,,,,,,,,,,,,,,Matches,e7fea035
180,Rodrigo Dourado,br BRA,MF,Internacional,27,1994,5.0,0.80,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d7d05a22
181,David Duarte,br BRA,DF,Fluminense,27,1995,0.9,1.11,1.06,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,91bf16f7
182,Dudu,br BRA,FW,Palmeiras,30,1992,31.3,4.70,4.70,3.83,0.16,0.19,0.13,0.38,0.00,0.64,0.64,0.61,0.00,0.00,0.03,0.00,0.00,Matches,895ef5ec
183,Dudu,br BRA,DF,Juventude,19,2002,1.2,0.83,0.80,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3f10ae0b
184,Pablo Dyego,br BRA,FW,Avaí,27,1994,5.4,2.04,2.05,1.11,0.00,0.19,0.37,0.37,0.00,0.37,0.37,0.00,0.00,0.00,0.19,0.19,0.00,Matches,fce54d7d
185,Edenílson,br BRA,MF,Internacional,32,1989,24.3,3.29,3.30,2.26,0.58,0.12,0.21,0.04,0.08,0.37,0.37,0.16,0.00,0.04,0.08,0.04,0.04,Matches,4e50f20e
186,Eder,br BRA,DF,América (MG),26,1995,32.7,0.52,0.52,0.43,0.06,0.00,0.00,0.00,0.03,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,Matches,ba1a2c4c
187,Éder,it ITA,FWMF,São Paulo,35,1986,7.4,1.76,1.76,1.22,0.14,0.00,0.14,0.27,0.00,0.27,0.27,0.14,0.00,0.00,0.00,0.14,0.00,Matches,5a325298
188,Edinho,br BRA,MF,Juventude,27,1994,4.1,,,,,,,,,,,,,,,,,Matches,a8cedcd9
189,Edson,br BRA,MFDF,Atl Goianiense,23,1998,9.1,2.20,2.20,1.54,0.22,0.11,0.11,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,644d4d85
190,Edson,br BRA,DFMF,Atl Goianiense,30,1991,15.8,0.63,0.63,0.57,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.06,0.00,Matches,041250aa
191,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,12.2,1.97,1.96,1.48,0.00,0.08,0.16,0.25,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Matches,1a234d32
192,Carlos Eduardo,br BRA,FWMF,Bragantino,25,1996,10.0,1.90,1.89,0.50,0.00,0.30,0.20,0.80,0.10,0.10,0.10,0.00,0.00,0.00,0.10,0.00,0.00,Matches,27c23008
193,Elton,br BRA,MF,Juventude,31,1990,12.9,1.78,1.78,1.47,0.00,0.00,0.16,0.00,0.16,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches,42b5868b
194,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),27,1994,2.9,5.52,5.54,2.41,1.72,0.00,1.03,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,74758396
195,Alan Empereur,br BRA,DF,Cuiabá,27,1994,24.7,0.57,0.57,0.53,0.00,0.00,0.04,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches,825b8997
196,Endrick,br BRA,FW,Palmeiras,15,2006,3.4,3.53,3.52,2.06,0.00,0.59,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a2728fbf
197,Erick,br BRA,MF,Atl Paranaense,24,1997,20.5,1.51,1.51,1.32,0.00,0.05,0.10,0.05,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches,8a826636
198,Erick,br BRA,FWMF,Ceará,24,1997,11.7,6.92,6.94,4.53,0.60,0.77,0.51,0.51,0.00,0.09,0.09,0.00,0.00,0.00,0.09,0.00,0.00,Matches,8edcad0d
199,Erison,br BRA,FW,Botafogo (RJ),22,1999,16.5,2.42,2.43,1.52,0.06,0.36,0.24,0.24,0.00,0.36,0.36,0.18,0.00,0.00,0.12,0.06,0.00,Matches,a9c450cb
200,Estevão,br BRA,FWMF,Internacional,19,2002,1.2,4.17,4.21,4.17,0.00,0.00,0.00,0.00,0.00,0.83,0.84,0.83,0.00,0.00,0.00,0.00,0.00,Matches,149f4681
201,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,29.0,3.00,3.00,2.55,0.00,0.00,0.24,0.21,0.00,0.17,0.17,0.10,0.00,0.00,0.03,0.03,0.00,Matches,5f4ce4b6
202,Everaldo,br BRA,MFFW,América (MG),27,1994,21.0,4.43,4.42,3.38,0.29,0.24,0.29,0.24,0.00,0.29,0.29,0.14,0.00,0.00,0.14,0.00,0.00,Matches,bdb57777
203,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37.0,0.16,0.16,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a59c090b
204,Éverton,br BRA,MFFW,Cuiabá,33,1988,4.4,2.05,2.01,1.14,0.00,0.00,0.00,0.91,0.00,0.23,0.22,0.00,0.00,0.00,0.00,0.23,0.00,Matches,f50a3570
205,Fabinho,br BRA,MF,Palmeiras,19,2002,0.8,1.25,1.30,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ff0e595c
206,Fábio,br BRA,FWMF,Atlético Mineiro,24,1997,1.5,2.00,1.96,1.33,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,30f90535
207,Fábio,br BRA,GK,Fluminense,41,1980,38.0,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,15825726
208,Fabrício,br BRA,FWMF,Coritiba,24,1997,16.7,3.53,3.54,2.40,0.00,0.30,0.42,0.36,0.06,0.30,0.30,0.24,0.00,0.06,0.00,0.00,0.00,Matches,0211a29e
209,Fagner,br BRA,DF,Corinthians,32,1989,10.0,1.70,1.69,1.20,0.50,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,0.00,0.00,0.00,0.00,Matches,a9cc58fe
210,Willian Farias,br BRA,MF,Coritiba,32,1989,17.7,2.03,2.03,1.75,0.00,0.11,0.00,0.11,0.06,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,Matches,d1fcff2f
211,Lucas Fasson,br BRA,DF,Atl Paranaense,20,2001,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,31ecbf29
212,Felipe,br BRA,MF,Fortaleza,27,1994,9.8,2.14,2.15,1.84,0.00,0.00,0.10,0.10,0.10,0.31,0.31,0.20,0.00,0.00,0.00,0.00,0.10,Matches,cadbabf9
213,Luis Felipe,br BRA,DF,Santos,28,1993,10.9,,,,,,,,,,,,,,,,,Matches,746c8624
214,Matheus Felipe,br BRA,DF,Atl Paranaense,23,1998,19.8,1.01,1.01,0.81,0.10,0.00,0.10,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches,90749ab9
215,Lucas Fernandes,br BRA,MF,Botafogo (RJ),24,1997,18.6,3.92,3.92,2.47,0.81,0.22,0.22,0.11,0.11,0.16,0.16,0.05,0.11,0.00,0.00,0.00,0.00,Matches,a109d777
216,Matheus Fernandes,br BRA,MF,Atl Paranaense,23,1998,7.6,2.37,2.36,1.84,0.00,0.26,0.26,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.13,0.00,0.00,Matches,f76fdcd2
217,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,31.2,0.10,0.10,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9a82f79a
218,Ignacio Fernández,ar ARG,MF,Atlético Mineiro,32,1990,24.7,5.14,5.15,2.71,1.78,0.08,0.20,0.36,0.00,0.45,0.45,0.20,0.08,0.04,0.08,0.04,0.00,Matches,97a17c0b
219,Rodrigo Fernández,uy URU,MF,Santos,26,1996,25.7,1.75,1.76,1.40,0.04,0.12,0.04,0.00,0.16,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches,617ee116
220,Fernandinho,br BRA,MF,Atl Paranaense,36,1985,10.8,3.70,3.72,3.24,0.19,0.09,0.00,0.09,0.09,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,Matches,101da2b5
221,Derick Fernando,br BRA,DF,Santos,19,2002,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a19d96f6
222,Luiz Fernando,br BRA,FWMF,Atl Goianiense,25,1996,19.4,2.84,2.84,2.32,0.05,0.15,0.21,0.10,0.00,0.26,0.26,0.26,0.00,0.00,0.00,0.00,0.00,Matches,824ed016
223,Nahuel Ferraresi,ve VEN,DF,São Paulo,23,1998,7.9,1.01,1.01,0.89,0.00,0.00,0.13,0.00,0.00,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,Matches,719aab45
224,Luiz Filipe,br BRA,MFFW,Goiás,20,2001,0.4,5.00,5.63,2.50,0.00,0.00,0.00,2.50,0.00,2.50,2.81,0.00,0.00,0.00,0.00,2.50,0.00,Matches,4a615e0b
225,Flávio,br BRA,MF,América (MG),21,2000,0.3,6.67,6.67,3.33,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f0367bfd
226,Rafael Forster,br BRA,DF,Juventude,31,1990,18.1,0.88,0.88,0.61,0.11,0.11,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,eb3f56e5
227,Matheus França,br BRA,FWMF,Flamengo,17,2004,7.5,2.53,2.54,2.27,0.00,0.27,0.00,0.00,0.00,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,Matches,077faf72
228,Fred,br BRA,FWMF,Fluminense,38,1983,1.4,1.43,1.40,0.71,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,acaeba74
229,Marlon Freitas,br BRA,MF,Atl Goianiense,26,1995,27.5,3.93,3.93,3.64,0.07,0.00,0.15,0.00,0.07,0.29,0.29,0.25,0.00,0.00,0.04,0.00,0.00,Matches,ae3181de
230,Douglas Friedrich,br BRA,GK,Avaí,33,1988,10.4,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8789242d
231,Gabriel,br BRA,MF,São Paulo,22,1999,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,135d500d
232,Gabriel,br BRA,MF,Internacional,29,1992,23.8,1.55,1.55,1.39,0.04,0.00,0.04,0.00,0.08,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches,e9c0d5d8
233,Gabriel,br BRA,GK,Coritiba,29,1992,13.0,0.08,0.08,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f93ed0df
234,Gabriel,br BRA,MF,Botafogo (RJ),28,1993,8.3,3.37,3.38,2.65,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0d10333c
235,Eduardo Gabriel,br BRA,DF,Santos,25,1996,33.0,0.30,0.30,0.15,0.00,0.00,0.09,0.06,0.00,0.09,0.09,0.00,0.00,0.00,0.06,0.03,0.00,Matches,aed65960
236,Luiz Gabriel,br BRA,FWMF,Coritiba,19,2002,1.1,0.91,0.91,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f9c619e0
237,Marquinhos Gabriel,br BRA,MFFW,Goiás,31,1990,8.4,3.81,3.82,2.62,0.36,0.12,0.24,0.48,0.00,0.24,0.24,0.12,0.12,0.00,0.00,0.00,0.00,Matches,fcd113c4
238,Vitor Gabriel,br BRA,FWMF,Juventude,22,2000,8.6,2.44,2.44,1.40,0.00,0.23,0.58,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,094c2abd
239,Matías Galarza,py PAR,MF,Coritiba,19,2002,6.7,3.28,3.28,2.54,0.00,0.00,0.15,0.45,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.15,0.00,Matches,8e97a57b
240,Matheus Galdezani,br BRA,MF,Avaí,29,1992,3.2,2.50,2.47,2.19,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5042eb90
241,Thiago Galhardo,br BRA,FWMF,Fortaleza,32,1989,15.0,3.00,3.01,1.87,0.00,0.47,0.33,0.27,0.07,0.33,0.33,0.07,0.00,0.27,0.00,0.00,0.00,Matches,766f48dd
242,Giuliano Galoppo,ar ARG,MF,São Paulo,22,1999,7.9,2.53,2.54,2.03,0.13,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a8eeadaf
243,Léo Gamalho,br BRA,FW,Coritiba,36,1986,18.4,1.90,1.90,1.52,0.00,0.00,0.16,0.16,0.05,0.16,0.16,0.11,0.00,0.00,0.00,0.05,0.00,Matches,f73056ee
244,Ganso,br BRA,MFFW,Fluminense,32,1989,27.5,4.58,4.58,3.89,0.33,0.04,0.15,0.07,0.11,0.36,0.36,0.33,0.00,0.00,0.00,0.04,0.00,Matches,23593121
245,García,br BRA,DFMF,Palmeiras,20,2002,1.1,2.73,2.78,2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,45d071f4
246,Bryan García,ec ECU,MF,Atl Paranaense,21,2001,3.1,2.58,2.60,2.58,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.32,0.00,0.00,0.00,0.00,0.00,Matches,7b66d351
247,Luan Garcia,br BRA,DF,Palmeiras,28,1993,13.6,1.62,1.62,1.54,0.00,0.00,0.07,0.00,0.00,0.37,0.37,0.29,0.00,0.00,0.07,0.00,0.00,Matches,6ebe6cc1
248,Gaspar,br BRA,FW,Avaí,19,2002,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,996af9a5
249,Rafael Gava,br BRA,MF,Cuiabá,28,1993,22.7,3.30,3.30,1.54,1.45,0.00,0.09,0.13,0.09,0.18,0.18,0.09,0.04,0.00,0.04,0.00,0.00,Matches,713e1a36
250,Lucas Gazal,br BRA,DF,Atl Goianiense,22,1999,14.5,0.48,0.48,0.34,0.00,0.00,0.14,0.00,0.00,0.14,0.14,0.07,0.00,0.00,0.07,0.00,0.00,Matches,dcae46d5
251,Guilherme Gehring,br BRA,MF,Juventude,16,2005,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,37faab98
252,Geovane,br BRA,MF,Ceará,22,1999,6.1,2.46,2.44,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,099a14d5
253,Gil,br BRA,DF,Corinthians,34,1987,22.7,0.35,0.35,0.22,0.00,0.00,0.09,0.00,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches,31edef00
254,Giovane,br BRA,FWDF,Corinthians,18,2003,3.3,2.12,2.10,0.91,0.30,0.30,0.30,0.30,0.00,0.61,0.60,0.00,0.00,0.30,0.00,0.30,0.00,Matches,1b567cdc
255,Giovani,br BRA,FWMF,Palmeiras,18,2004,0.4,2.50,2.57,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a199bd5f
256,Glédson,br BRA,GK,Avaí,38,1983,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a9d625f5
